state ,district,esti.prod,model_price
Rajasthan,Jhalawar ,1.223,844
Rajasthan,Baran  ,1.478,659
Rajasthan,Kota   ,0.953,502
Rajasthan,Chittorgarh   ,0.644,385
Rajasthan,Bundi,0.351,312
Rajasthan,Udaipur,0.179,35
Rajasthan,Swai,0.037,33
Rajasthan,Bhilwara   ,0.037,13
Rajasthan,Tonk  ,0.156,6
