,arrival_date,state,district,market,variety,modal_price
1800,Jan,Madhya Pradesh,Sagar,Garhakota,Yellow,3559.0
1779,Jan,Madhya Pradesh,Rajgarh,Khujner,Yellow,3593.6666666666665
1780,Jan,Madhya Pradesh,Rajgarh,Kurawar,Yellow,3660.714285714286
1781,Jan,Madhya Pradesh,Rajgarh,Machalpur,Yellow,3299.8
1782,Jan,Madhya Pradesh,Rajgarh,Narsinghgarh,Other,3700.0
1783,Jan,Madhya Pradesh,Rajgarh,Narsinghgarh,Yellow,3580.0
1784,Jan,Madhya Pradesh,Rajgarh,Pachaur,Yellow,3583.5714285714284
1785,Jan,Madhya Pradesh,Rajgarh,Sarangpur,Yellow,3545.190476190476
1786,Jan,Madhya Pradesh,Rajgarh,Suthalia,Black,3517.777777777778
1787,Jan,Madhya Pradesh,Ratlam,A lot,Yellow,3645.875
1788,Jan,Madhya Pradesh,Ratlam,Jaora,Other,3564.8571428571427
1789,Jan,Madhya Pradesh,Ratlam,Ratlam,Yellow,3604.269230769231
1790,Jan,Madhya Pradesh,Ratlam,Sailana,Other,3574.0
1791,Jan,Madhya Pradesh,Ratlam,Taal,Other,3701.5
1792,Jan,Madhya Pradesh,Ratlam,Taal,Soyabeen,3654.1666666666665
1793,Jan,Madhya Pradesh,Rewa,Baikunthpur,Other,2876.0
1794,Jan,Madhya Pradesh,Rewa,Rewa,Other,3271.5
1795,Jan,Madhya Pradesh,Sagar,Bamora,Yellow,3556.4285714285716
1810,Jan,Madhya Pradesh,Sagar,Sagar,Yellow,3467.8571428571427
1809,Jan,Madhya Pradesh,Sagar,Rehli,Yellow,3466.6666666666665
1808,Jan,Madhya Pradesh,Sagar,Rahatgarh,Yellow,3461.875
1807,Jan,Madhya Pradesh,Sagar,Malthone,Yellow,3216.6666666666665
1806,Jan,Madhya Pradesh,Sagar,Malthone,Other,3150.0
1805,Jan,Madhya Pradesh,Sagar,Khurai,Soyabeen,3406.9285714285716
1778,Jan,Madhya Pradesh,Rajgarh,Khilchipur,Soyabeen,3532.6470588235293
1804,Jan,Madhya Pradesh,Sagar,Kesli,Yellow,3362.5
1802,Jan,Madhya Pradesh,Sagar,Jaisinagar,Soyabeen,3478.5714285714284
1801,Jan,Madhya Pradesh,Sagar,Jaisinagar,Local,3400.0
1799,Jan,Madhya Pradesh,Sagar,Deori,Soyabeen,3399.0
1798,Jan,Madhya Pradesh,Sagar,Bina,Yellow,3497.6666666666665
1797,Jan,Madhya Pradesh,Sagar,Banda,Soyabeen,3390.5833333333335
1796,Jan,Madhya Pradesh,Sagar,Banda,Other,3475.0
1803,Jan,Madhya Pradesh,Sagar,Kesli,Other,3362.5
1811,Jan,Madhya Pradesh,Sagar,Shahagarh,Other,3130.0
1777,Jan,Madhya Pradesh,Rajgarh,Jeerapur,Yellow,3480.769230769231
1775,Jan,Madhya Pradesh,Rajgarh,Biaora,Yellow,3555.3571428571427
1744,Jan,Madhya Pradesh,Khargone,Sanawad,Other,3675.0
1745,Jan,Madhya Pradesh,Khargone,Sanawad,Soyabeen,3540.8823529411766
1746,Jan,Madhya Pradesh,Khargone,Segaon,Other,3137.75
1747,Jan,Madhya Pradesh,Mandsaur,Daloda,Soyabeen,3590.0
1748,Jan,Madhya Pradesh,Mandsaur,Garoth,Other,3508.3333333333335
1749,Jan,Madhya Pradesh,Mandsaur,Mandsaur,Other,3570.0
1750,Jan,Madhya Pradesh,Mandsaur,Piplya,Local,3367.5
1751,Jan,Madhya Pradesh,Mandsaur,Piplya,Other,3575.0
1752,Jan,Madhya Pradesh,Mandsaur,Piplya,Soyabeen,3587.8571428571427
1753,Jan,Madhya Pradesh,Mandsaur,Piplya,Yellow,3583.3333333333335
1754,Jan,Madhya Pradesh,Mandsaur,Shamgarh,Soyabeen,3251.25
1755,Jan,Madhya Pradesh,Mandsaur,Sitmau,Other,3609.375
1756,Jan,Madhya Pradesh,Mandsaur,Suvasra,Other,3395.1111111111113
1757,Jan,Madhya Pradesh,Morena,Kailaras,Yellow,3437.5
1758,Jan,Madhya Pradesh,Morena,Morena,Soyabeen,3475.0
1759,Jan,Madhya Pradesh,Narsinghpur,Gadarwada,Yellow,3220.230769230769
1760,Jan,Madhya Pradesh,Narsinghpur,Gotegaon,Yellow,3188.0
1774,Jan,Madhya Pradesh,Raisen,Udaipura,Other,2950.0
1773,Jan,Madhya Pradesh,Raisen,Silvani,Black,3280.8333333333335
1772,Jan,Madhya Pradesh,Raisen,Raisen,Other,2908.4
1771,Jan,Madhya Pradesh,Raisen,Obedullaganj,Yellow,3212.3333333333335
1770,Jan,Madhya Pradesh,Raisen,Gairatganj,Yellow,3481.714285714286
1769,Jan,Madhya Pradesh,Raisen,Begamganj,Yellow,3400.0
1776,Jan,Madhya Pradesh,Rajgarh,Chhapiheda,Other,3550.1
1768,Jan,Madhya Pradesh,Raisen,Begamganj,Other,3441.6666666666665
1766,Jan,Madhya Pradesh,Panna,Devandranagar,Soyabeen,3305.0
1765,Jan,Madhya Pradesh,Neemuch,Neemuch,Yellow,3648.3333333333335
1764,Jan,Madhya Pradesh,Neemuch,Manasa,Other,3446.176470588235
1763,Jan,Madhya Pradesh,Neemuch,Javad,Other,3423.5
1762,Jan,Madhya Pradesh,Narsinghpur,Narsinghpur,Other,3440.3636363636365
1761,Jan,Madhya Pradesh,Narsinghpur,Kareli,Yellow,3389.4
1767,Jan,Madhya Pradesh,Panna,Panna,Other,3110.0
1743,Jan,Madhya Pradesh,Khargone,Khargone,Other,3610.5238095238096
1812,Jan,Madhya Pradesh,Satna,Nagod,Other,3357.1428571428573
1814,Jan,Madhya Pradesh,Sehore,Ashta,Yellow,3621.0
1850,Jan,Madhya Pradesh,Shivpuri,Shivpuri,Other,3563.1428571428573
1851,Jan,Madhya Pradesh,Tikamgarh,Jatara,Other,3315.0
1852,Jan,Madhya Pradesh,Tikamgarh,Khargapur,Black,3168.75
1853,Jan,Madhya Pradesh,Tikamgarh,Niwadi,Yellow,3537.7272727272725
1854,Jan,Madhya Pradesh,Tikamgarh,Palera,Yellow,3450.0
1855,Jan,Madhya Pradesh,Tikamgarh,Tikamgarh,Yellow,3487.2631578947367
1856,Jan,Madhya Pradesh,Ujjain,Badnagar,Yellow,3622.8333333333335
1857,Jan,Madhya Pradesh,Ujjain,Khachrod,Yellow,3556.909090909091
1858,Jan,Madhya Pradesh,Ujjain,Mahidpur,Yellow,3498.0476190476193
1859,Jan,Madhya Pradesh,Ujjain,Nagda,Yellow,3618.5263157894738
1860,Jan,Madhya Pradesh,Ujjain,Tarana,Yellow,3655.5263157894738
1861,Jan,Madhya Pradesh,Ujjain,Ujjain,Yellow,3706.777777777778
1862,Jan,Madhya Pradesh,Ujjain,Unhel,Soyabeen,352.9692307692308
1863,Jan,Madhya Pradesh,Umariya,Umariya,Other,3440.0
1864,Jan,Madhya Pradesh,Vidisha,Ganjbasoda,Yellow,3569.705882352941
1865,Jan,Madhya Pradesh,Vidisha,Gulabganj,Other,3240.0
1866,Jan,Madhya Pradesh,Vidisha,Kurwai,Yellow,3356.25
1881,Jan,Maharashtra,Akola,Akot,Yellow,3681.25
1880,Jan,Maharashtra,Akola,Akola,Yellow,3570.2380952380954
1879,Jan,Maharashtra,Ahmednagar,Shrirampur(Belapur),Other,3589.285714285714
1878,Jan,Maharashtra,Ahmednagar,Shrirampur,Other,3606.0
1877,Jan,Maharashtra,Ahmednagar,Sangamner,Other,3483.3333333333335
1876,Jan,Maharashtra,Ahmednagar,Rahuri(Vambori),Other,3565.090909090909
1849,Jan,Madhya Pradesh,Shivpuri,Pohari,Yellow,3574.214285714286
1875,Jan,Maharashtra,Ahmednagar,Rahuri,Other,3275.0
1873,Jan,Maharashtra,Ahmednagar,Kopargaon,Other,3621.25
1872,Jan,Maharashtra,Ahmednagar,Jamkhed,Yellow,3221.4285714285716
1871,Jan,Maharashtra,Ahmednagar,Ahmednagar,Other,3535.8
1870,Jan,Madhya Pradesh,Vidisha,Vidisha,Yellow,3501.6666666666665
1868,Jan,Madhya Pradesh,Vidisha,Shamshabad,Yellow,3497.25
1867,Jan,Madhya Pradesh,Vidisha,Lateri,Yellow,3481.9444444444443
1874,Jan,Maharashtra,Ahmednagar,Rahata,Other,3628.4166666666665
1813,Jan,Madhya Pradesh,Satna,Satna,Other,3062.777777777778
1848,Jan,Madhya Pradesh,Shivpuri,Kolaras,Other,3535.1428571428573
1846,Jan,Madhya Pradesh,Shivpuri,Khaniadhana,Yellow,3260.0
1815,Jan,Madhya Pradesh,Sehore,Ichhawar,Yellow,3653.5
1816,Jan,Madhya Pradesh,Sehore,Jawar,Soyabeen,3670.1052631578946
1817,Jan,Madhya Pradesh,Sehore,Nasrullaganj,Other,3501.0
1818,Jan,Madhya Pradesh,Sehore,Nasrullaganj,Yellow,3573.75
1819,Jan,Madhya Pradesh,Sehore,Rehati,Yellow,3245.7272727272725
1820,Jan,Madhya Pradesh,Sehore,Sehore,Yellow,3555.0
1821,Jan,Madhya Pradesh,Sehore,Shyampur,Yellow,3613.222222222222
1822,Jan,Madhya Pradesh,Seoni,Chhpara,Yellow,3000.0
1823,Jan,Madhya Pradesh,Seoni,Keolari,Other,3150.0
1824,Jan,Madhya Pradesh,Seoni,Lakhnadon,Other,2850.0
1825,Jan,Madhya Pradesh,Seoni,Palari,Black,3276.75
1826,Jan,Madhya Pradesh,Seoni,Seoni,Yellow,3583.5
1827,Jan,Madhya Pradesh,Shajapur,Agar,Other,3641.315789473684
1828,Jan,Madhya Pradesh,Shajapur,Akodia,Other,3608.0
1829,Jan,Madhya Pradesh,Shajapur,Badod,Yellow,3576.304347826087
1830,Jan,Madhya Pradesh,Shajapur,Berachha,Other,3359.2
1831,Jan,Madhya Pradesh,Shajapur,Kalapipal,Yellow,3419.740740740741
1845,Jan,Madhya Pradesh,Shivpuri,Khaniadhana,Other,3235.0
1844,Jan,Madhya Pradesh,Shivpuri,Karera,Other,3557.0
1843,Jan,Madhya Pradesh,Shivpuri,Barad,Yellow,3542.2272727272725
1842,Jan,Madhya Pradesh,Shivpuri,Badarwas,Soyabeen,3460.8888888888887
1841,Jan,Madhya Pradesh,Sheopur,Sheopurkalan,Soyabeen,3547.4210526315787
1840,Jan,Madhya Pradesh,Sheopur,Sheopurbadod,Other,3472.8571428571427
1847,Jan,Madhya Pradesh,Shivpuri,Khatora,Other,3472.714285714286
1839,Jan,Madhya Pradesh,Shehdol,Shahdol,Other,3295.8333333333335
1837,Jan,Madhya Pradesh,Shajapur,Soyatkalan,Other,3227.5
1836,Jan,Madhya Pradesh,Shajapur,Shujalpur,Other,3550.695652173913
1835,Jan,Madhya Pradesh,Shajapur,Shajapur,Other,3616.285714285714
1834,Jan,Madhya Pradesh,Shajapur,Nalkehda,Other,3636.6190476190477
1833,Jan,Madhya Pradesh,Shajapur,Momanbadodiya,Yellow,3518.4117647058824
1832,Jan,Madhya Pradesh,Shajapur,Maksi,Other,3490.1176470588234
1838,Jan,Madhya Pradesh,Shajapur,Susner,Yellow,3616.266666666667
1882,Jan,Maharashtra,Akola,Balapur,Yellow,3523.3333333333335
1742,Jan,Madhya Pradesh,Khargone,Kasrawad,Soyabeen,3373.3333333333335
1740,Jan,Madhya Pradesh,Khargone,Bhikangaon,Other,3600.086956521739
1639,Jan,Karnataka,Belgaum,Nippani,Other,3800.0
1640,Jan,Karnataka,Belgaum,Sankeshwar,Soyabeen,3403.75
1641,Jan,Karnataka,Bidar,Bhalki,Soyabeen,3606.4285714285716
1642,Jan,Karnataka,Bidar,Bidar,Soyabeen,3658.529411764706
1643,Jan,Karnataka,Dharwad,Dharwar,Soyabeen,3580.0
1644,Jan,Karnataka,Dharwad,Hubli (Amaragol),Soyabeen,3274.722222222222
1645,Jan,Karnataka,Dharwad,Kalagategi,Soyabeen,3574.285714285714
1646,Jan,Karnataka,Gulbarga,Gulbarga,Soyabeen,3248.125
1647,Jan,Karnataka,Haveri,Hanagal,Soyabeen,3564.4545454545455
1648,Jan,Karnataka,Haveri,Haveri,Soyabeen,3562.5
1649,Jan,Karnataka,Haveri,Shiggauv,Soyabeen,3623.785714285714
1650,Jan,Madhya Pradesh,Alirajpur,Alirajpur,Other,3447.0
1651,Jan,Madhya Pradesh,Alirajpur,Jobat,Other,3214.285714285714
1652,Jan,Madhya Pradesh,Anupur,Anuppur,Other,3000.0
1653,Jan,Madhya Pradesh,Ashoknagar,Ashoknagar,Other,3300.0
1654,Jan,Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,3335.3333333333335
1655,Jan,Madhya Pradesh,Ashoknagar,Chanderi,Soyabeen,3357.1428571428573
1669,Jan,Madhya Pradesh,Bhopal,Berasia,Soyabeen,3404.0
1668,Jan,Madhya Pradesh,Betul,Multai,Yellow,3438.8823529411766
1667,Jan,Madhya Pradesh,Betul,Multai,Other,3680.0
1666,Jan,Madhya Pradesh,Betul,Bhensdehi,Yellow,3760.0
1665,Jan,Madhya Pradesh,Betul,Betul,Yellow,3642.8125
1664,Jan,Madhya Pradesh,Badwani,Sendhwa,Yellow,3609.0555555555557
1638,Jan,Karnataka,Belgaum,Bailahongal,Local,3615.5
1663,Jan,Madhya Pradesh,Badwani,Balwadi,Yellow,3343.3333333333335
1661,Jan,Madhya Pradesh,Badwani,Anjad,Other,3243.75
1660,Jan,Madhya Pradesh,Ashoknagar,Shadora,Other,3543.6666666666665
1659,Jan,Madhya Pradesh,Ashoknagar,Piprai,Other,3352.5
1658,Jan,Madhya Pradesh,Ashoknagar,Mungawali,Yellow,3470.0
1657,Jan,Madhya Pradesh,Ashoknagar,Isagarh,Yellow,3583.3333333333335
1656,Jan,Madhya Pradesh,Ashoknagar,Isagarh,Other,3531.4285714285716
1662,Jan,Madhya Pradesh,Badwani,Badwani,Soyabeen,3024.0
1670,Jan,Madhya Pradesh,Bhopal,Berasia,Yellow,3404.0
1637,Jan,Karnataka,Bangalore,Bangalore,Soyabeen,4600.0
1635,Jan,Gujarat,Surat,Vyra,Yellow,3737.0
1604,Jan,Chattisgarh,Balodabazar,Bhatapara,Other,3144.6666666666665
1605,Jan,Chattisgarh,Durg,Durg,Other,3411.0
1606,Jan,Chattisgarh,Durg,Khamhariya,Yellow,3457.3333333333335
1607,Jan,Chattisgarh,Kabirdham,Kawardha,Yellow,3430.5
1608,Jan,Chattisgarh,Kabirdham,Pipriya,Yellow,3430.0
1609,Jan,Chattisgarh,Mungeli,Munguli,Yellow,3486.75
1610,Jan,Chattisgarh,Raipur,Arang,Soyabeen,3630.0
1611,Jan,Chattisgarh,Raipur,Kharora,Yellow,3000.0
1612,Jan,Chattisgarh,Raipur,Raipur,Soyabeen,2855.0
1613,Jan,Chattisgarh,Rajnandgaon,Dongargaon,Local,3596.1666666666665
1614,Jan,Chattisgarh,Rajnandgaon,Dongargaon,Yellow,3556.3333333333335
1615,Jan,Chattisgarh,Rajnandgaon,Gandai,Soyabeen,3399.0
1616,Jan,Chattisgarh,Rajnandgaon,Kheragarh,Other,2950.0
1617,Jan,Chattisgarh,Rajnandgaon,Rajnandgaon,Yellow,3587.4375
1618,Jan,Gujarat,Amreli,Amreli,Other,3361.6666666666665
1619,Jan,Gujarat,Amreli,Rajula,Soyabeen,3455.0
1620,Jan,Gujarat,Dahod,Dahod,Soyabeen,3742.2727272727275
1634,Jan,Gujarat,Surat,S.Mandvi,Other,2875.0
1633,Jan,Gujarat,Surat,Mandvi,Other,2875.0
1632,Jan,Gujarat,Sabarkantha,Modasa,Yellow,3523.823529411765
1631,Jan,Gujarat,Sabarkantha,Khedbrahma,Other,3643.4
1630,Jan,Gujarat,Sabarkantha,Himatnagar,Yellow,3450.0
1629,Jan,Gujarat,Sabarkantha,Bhiloda,Other,3537.8
1636,Jan,Gujarat,Vadodara(Baroda),Savli,Soyabeen,3225.0
1628,Jan,Gujarat,Rajkot,Upleta,Soyabeen,3483.3333333333335
1626,Jan,Gujarat,Rajkot,Gondal,Yellow,3430.0
1625,Jan,Gujarat,Rajkot,Dhoraji,Yellow,3498.4375
1624,Jan,Gujarat,Junagarh,Junagadh,Soyabeen,3514.4736842105262
1623,Jan,Gujarat,Junagarh,Bhesan,Other,3265.0
1622,Jan,Gujarat,Jamnagar,Jam Jodhpur,Soyabeen,3435.714285714286
1621,Jan,Gujarat,Dahod,Jhalod,Other,3187.5
1627,Jan,Gujarat,Rajkot,Jasdan,Other,2783.3333333333335
1741,Jan,Madhya Pradesh,Khargone,Karhi,Other,3562.5
1671,Jan,Madhya Pradesh,Bhopal,Bhopal,Other,3568.0
1673,Jan,Madhya Pradesh,Burhanpur,Burhanpur,Yellow,3584.0454545454545
1709,Jan,Madhya Pradesh,Dindori,Gorakhpur,Local,3385.1176470588234
1710,Jan,Madhya Pradesh,Guna,Aron,Other,3334.4285714285716
1711,Jan,Madhya Pradesh,Guna,Binaganj,Other,3452.8571428571427
1712,Jan,Madhya Pradesh,Guna,Guna,Other,3570.2631578947367
1713,Jan,Madhya Pradesh,Guna,Kumbhraj,Other,3539.4117647058824
1714,Jan,Madhya Pradesh,Guna,Maksudangarh,Other,3475.5
1715,Jan,Madhya Pradesh,Guna,Raghogarh,Soyabeen,3421.9333333333334
1716,Jan,Madhya Pradesh,Gwalior,Dabra,Yellow,3273.8571428571427
1717,Jan,Madhya Pradesh,Gwalior,Lashkar,Yellow,3292.5
1718,Jan,Madhya Pradesh,Harda,Harda,Yellow,3474.1666666666665
1719,Jan,Madhya Pradesh,Harda,Khirakiya,Yellow,3609.55
1720,Jan,Madhya Pradesh,Harda,Siroli,Soyabeen,3573.214285714286
1721,Jan,Madhya Pradesh,Harda,Timarni,Soyabeen,3461.85
1722,Jan,Madhya Pradesh,Hoshangabad,Banapura,Yellow,3554.2631578947367
1723,Jan,Madhya Pradesh,Hoshangabad,Bankhedi,Yellow,3768.0
1724,Jan,Madhya Pradesh,Hoshangabad,Itarsi,Yellow,3508.714285714286
1725,Jan,Madhya Pradesh,Hoshangabad,Pipariya,Other,3123.1
1739,Jan,Madhya Pradesh,Khargone,Badwaha,Yellow,3422.5
1738,Jan,Madhya Pradesh,Khandwa,Pandhana,Other,3548.9333333333334
1737,Jan,Madhya Pradesh,Khandwa,Khandwa,Yellow,3590.0
1736,Jan,Madhya Pradesh,Khandwa,Harsood,Yellow,3601.842105263158
1735,Jan,Madhya Pradesh,Katni,Katni,Yellow,3355.0
1734,Jan,Madhya Pradesh,Jhabua,Thandla,Yellow,3424.0833333333335
1708,Jan,Madhya Pradesh,Dindori,Dindori,Soyabeen,3400.0
1733,Jan,Madhya Pradesh,Jhabua,Petlawad,Yellow,3457.0
1731,Jan,Madhya Pradesh,Jabalpur,Jabalpur,Yellow,2510.0
1730,Jan,Madhya Pradesh,Indore,Sanwer,Yellow,3635.157894736842
1729,Jan,Madhya Pradesh,Indore,Mhow,Sup,3000.0
1728,Jan,Madhya Pradesh,Indore,Mhow,Other,3404.1666666666665
1727,Jan,Madhya Pradesh,Indore,Indore,Yellow,3626.1111111111113
1726,Jan,Madhya Pradesh,Indore,Gautampura,Other,3510.55
1732,Jan,Madhya Pradesh,Jhabua,Jhabua,Yellow,3347.3333333333335
1672,Jan,Madhya Pradesh,Bhopal,Bhopal,Yellow,3565.4285714285716
1707,Jan,Madhya Pradesh,Dindori,Dindori,Local,3500.0
1705,Jan,Madhya Pradesh,Dhar,Rajgarh,Other,342.0
1674,Jan,Madhya Pradesh,Chhatarpur,Badamalhera,Soyabeen,3453.4444444444443
1675,Jan,Madhya Pradesh,Chhatarpur,Bakswaha,Black,3000.0
1676,Jan,Madhya Pradesh,Chhatarpur,Bijawar,Soyabeen,3465.5789473684213
1677,Jan,Madhya Pradesh,Chhatarpur,Chhatarpur,Other,3554.4444444444443
1678,Jan,Madhya Pradesh,Chhatarpur,Naugaon,Soyabeen,3250.0
1679,Jan,Madhya Pradesh,Chhatarpur,Rajnagar,Yellow,3440.0
1680,Jan,Madhya Pradesh,Chhindwara,Amarwda,Soyabeen,2769.0
1681,Jan,Madhya Pradesh,Chhindwara,Chaurai,Other,3300.0
1682,Jan,Madhya Pradesh,Chhindwara,Chhindwara,Other,3365.8
1683,Jan,Madhya Pradesh,Chhindwara,Pandhurna,Other,3515.0
1684,Jan,Madhya Pradesh,Chhindwara,Pandhurna,Yellow,3390.714285714286
1685,Jan,Madhya Pradesh,Chhindwara,Saunsar,Yellow,3105.0
1686,Jan,Madhya Pradesh,Damoh,Damoh,Other,3540.0
1687,Jan,Madhya Pradesh,Damoh,Damoh,Yellow,3523.4375
1688,Jan,Madhya Pradesh,Damoh,Hata,Other,3260.0
1689,Jan,Madhya Pradesh,Damoh,Patharia,Other,3507.0
1690,Jan,Madhya Pradesh,Damoh,Patharia,Yellow,3369.2
1704,Jan,Madhya Pradesh,Dhar,Manawar,Other,3542.235294117647
1703,Jan,Madhya Pradesh,Dhar,Kukshi,Yellow,3533.214285714286
1702,Jan,Madhya Pradesh,Dhar,Gandhwani,Yellow,3622.0
1701,Jan,Madhya Pradesh,Dhar,Dhar,Yellow,3583.809523809524
1700,Jan,Madhya Pradesh,Dhar,Dhamnod,Yellow,3581.5789473684213
1699,Jan,Madhya Pradesh,Dhar,Badnawar,Yellow,3676.5789473684213
1706,Jan,Madhya Pradesh,Dhar,Rajgarh,Yellow,3574.45
1698,Jan,Madhya Pradesh,Dewas,Sonkatch,Yellow,3582.6190476190477
1696,Jan,Madhya Pradesh,Dewas,Khategaon,Soyabeen,3451.0476190476193
1695,Jan,Madhya Pradesh,Dewas,Kannod,Soyabeen,3562.1875
1694,Jan,Madhya Pradesh,Dewas,Haatpipliya,Yellow,3460.4444444444443
1693,Jan,Madhya Pradesh,Dewas,Dewas,Other,3483.9444444444443
1692,Jan,Madhya Pradesh,Dewas,Bagli,Other,3417.1666666666665
1691,Jan,Madhya Pradesh,Datia,Datia,Yellow,3490.0
1697,Jan,Madhya Pradesh,Dewas,Loharda,Other,3565.375
1883,Jan,Maharashtra,Akola,Murtizapur,Yellow,3424.705882352941
1869,Jan,Madhya Pradesh,Vidisha,Sironj,Other,3428.75
1885,Jan,Maharashtra,Akola,Telhara,Yellow,3475.0
1995,Jan,Maharashtra,Parbhani,Sonpeth,Yellow,3632.222222222222
1996,Jan,Maharashtra,Pune,Baramati,Yellow,3600.5
1997,Jan,Maharashtra,Sholapur,Barshi,Other,3653.4285714285716
1998,Jan,Maharashtra,Vashim,Karanja,Other,3554.285714285714
1999,Jan,Maharashtra,Vashim,Malegaon(Vashim),Other,3596.1111111111113
2000,Jan,Maharashtra,Vashim,Mangrulpeer,Yellow,3640.277777777778
2001,Jan,Maharashtra,Vashim,Manora,Other,3525.5555555555557
2002,Jan,Maharashtra,Vashim,Risod,Other,3578.8888888888887
1994,Jan,Maharashtra,Parbhani,Selu,Other,3590.0
2003,Jan,Maharashtra,Vashim,Washim,Yellow,3626.315789473684
2005,Jan,Maharashtra,Wardha,Arvi,Yellow,3463.75
2006,Jan,Maharashtra,Wardha,Ashti(Karanja),Yellow,3509.2105263157896
2007,Jan,Maharashtra,Wardha,Hinganghat,Yellow,3331.5625
2008,Jan,Maharashtra,Wardha,Pulgaon,Yellow,3591.375
2009,Jan,Maharashtra,Wardha,Samudrapur,Yellow,3400.0
2010,Jan,Maharashtra,Wardha,Sindi,Yellow,3521.923076923077
2011,Jan,Maharashtra,Wardha,Sindi(Selu),Yellow,3479.285714285714
2012,Jan,Maharashtra,Wardha,Wardha,Yellow,3506.6315789473683
2004,Jan,Maharashtra,Vashim,Washim(Ansing),Yellow,3634.6428571428573
2013,Jan,Maharashtra,Yavatmal,Babhulgaon,Yellow,3464.4285714285716
1993,Jan,Maharashtra,Parbhani,Purna,Yellow,3521.0
1991,Jan,Maharashtra,Parbhani,Parbhani,Yellow,3588.7272727272725
1973,Jan,Maharashtra,Nandurbar,Shahada,Other,3602.846153846154
1974,Jan,Maharashtra,Nandurbar,Taloda,Yellow,3575.0
1975,Jan,Maharashtra,Nashik,Kalvan,Other,3558.3333333333335
1976,Jan,Maharashtra,Nashik,Lasalgaon,Other,3680.076923076923
1977,Jan,Maharashtra,Nashik,Lasalgaon(Niphad),Other,3676.133333333333
1978,Jan,Maharashtra,Nashik,Malegaon,Yellow,2971.0
1979,Jan,Maharashtra,Nashik,Nandgaon,Yellow,3752.0
1980,Jan,Maharashtra,Nashik,Sinner,Other,3686.0
1992,Jan,Maharashtra,Parbhani,Pathari,Other,3475.25
1981,Jan,Maharashtra,Nashik,Yeola,Other,3593.0
1983,Jan,Maharashtra,Osmanabad,Murim,Yellow,3592.0625
1984,Jan,Maharashtra,Osmanabad,Tuljapur,Other,3714.1428571428573
1985,Jan,Maharashtra,Osmanabad,Umarga,Yellow,3445.0
1986,Jan,Maharashtra,Parbhani,Gangakhed,Yellow,3560.4545454545455
1987,Jan,Maharashtra,Parbhani,Jintur,Yellow,3544.5333333333333
1988,Jan,Maharashtra,Parbhani,Jintur(Bori),Yellow,3557.3529411764707
1989,Jan,Maharashtra,Parbhani,Manwat,Yellow,3607.8571428571427
1990,Jan,Maharashtra,Parbhani,Palam,Yellow,3700.0
1982,Jan,Maharashtra,Osmanabad,Kalamb(Osmanabad),Yellow,3688.4210526315787
1972,Jan,Maharashtra,Nandurbar,Navapur,Other,3483.5
2014,Jan,Maharashtra,Yavatmal,Digras,Yellow,3609.375
2016,Jan,Maharashtra,Yavatmal,Kalamb,Yellow,3476.6666666666665
2039,Jan,Rajasthan,Jhalawar,Bhawani Mandi(Choumehla),Other,3597.0
2040,Jan,Rajasthan,Jhalawar,Bhawani Mandi(Raipur),Other,3590.5
2041,Jan,Rajasthan,Jhalawar,Jhalarapatan,Other,3626.4615384615386
2042,Jan,Rajasthan,Jhalawar,Khanpur,Other,3700.5
2043,Jan,Rajasthan,Kota,Chechat,Other,3570.0
2044,Jan,Rajasthan,Kota,Itawa,Other,3453.1363636363635
2045,Jan,Rajasthan,Kota,Kota,Other,3535.2380952380954
2046,Jan,Rajasthan,Kota,Ramaganj Mandi,Other,3497.6111111111113
2038,Jan,Rajasthan,Jhalawar,Bhawani Mandi,Other,3531.904761904762
2047,Jan,Rajasthan,Swai Madhopur,Sawai Madhopur,Other,3571.5
2049,Jan,Rajasthan,Udaipur,Udaipur,Other,3500.0
2050,Jan,Telangana,Adilabad,Bhainsa,Yellow,3667.0
2051,Jan,Telangana,Karimnagar,Koratla,Black,3760.0
2052,Jan,Telangana,Nizamabad,Nizamabad,Yellow,3309.0
2053,Jan,Telangana,Nizamabad,Pitlam,Local,3399.0
2054,Jan,Telangana,Ranga Reddy,Tanduru,Local,3415.5
2055,Jan,Uttar Pradesh,Kanpur,Kanpur(Grain),Soyabeen,4584.782608695652
2056,Jan,Uttar Pradesh,Lalitpur,Lalitpur,Yellow,3253.277777777778
2048,Jan,Rajasthan,Tonk,Deoli,Other,3050.0
2015,Jan,Maharashtra,Yavatmal,Ghatanji,Yellow,3787.5
2037,Jan,Rajasthan,Jhalawar,Aklera,Other,3575.842105263158
2035,Jan,Rajasthan,Chittorgarh,Pratapgarh,Other,3510.0
2017,Jan,Maharashtra,Yavatmal,Ner Parasopant,Yellow,3417.8571428571427
2018,Jan,Maharashtra,Yavatmal,Umarked(Danki),Yellow,3523.684210526316
2019,Jan,Maharashtra,Yavatmal,Umarkhed,Yellow,3531.818181818182
2020,Jan,Maharashtra,Yavatmal,Vani,Yellow,3562.75
2021,Jan,Maharashtra,Yavatmal,Yeotmal,Yellow,3477.3333333333335
2022,Jan,Maharashtra,Yavatmal,ZariZamini,Yellow,3503.5
2023,Jan,Rajasthan,Baran,Anta,Other,3429.0
2024,Jan,Rajasthan,Baran,Atru,Other,3523.4761904761904
1884,Jan,Maharashtra,Akola,Patur,Other,3444.0
