State,District,Arrival_date,Sold_Amount/tonns,
Gujarat,Jamnagar,Jun,0.3,
Gujarat,Junagarh,Jun,87.5,
Gujarat,Rajkot,Jun,66.1,
Gujarat,Sabarkantha,Jun,18.5,
Gujarat,Surat,Jun,0.12,
Gujarat,Vadodara,Jun,546,
Gujarat,Bhavnagar,Jun,241,
Gujarat,Amreli,Jul,0.3,
Gujarat,Bhavnagar,Jul,0.08,
Gujarat,Dahod,Jul,1116.6,
Gujarat,Jamnagar,Jul,0.7,
Gujarat,Junagarh,Jul,77.7,
Gujarat,Rajkot,Jul,477.1,
Gujarat,Sabarkantha,Jul,26.9,
Gujarat,Surat,Jul,4.5,
Gujarat,Vadodara,Jul,546,
Gujarat,Amreli,Aug,0.5,
Gujarat,Bhavnagar,Aug,0.05,
Gujarat,Dahod,Aug,831.3,
Gujarat,Jamnagar,Aug,0.2,
Gujarat,Junagarh,Aug,54.5,
Gujarat,Rajkot,Aug,322.7,
Gujarat,Sabarkantha,Aug,6,
Gujarat,Vadodara,Aug,65,
Gujarat,Surat,Aug,54,
Gujarat,Amreli,Sep,0.1,
Gujarat,Dahod,Sep,450.4,
Gujarat,Junagarh,Sep,119.3,
Gujarat,Rajkot,Sep,348.3,
Gujarat,Sabarkantha,Sep,2,
Gujarat,Vadodara,Sep,444,
Gujarat,Surat,Sep,35,
Gujarat,Bhavnagar,Sep,353,
Gujarat,Jamnagar,Sep,978,
Gujarat,Amreli,Oct,4.3,
Gujarat,Dahod,Oct,1230.7,
Gujarat,Jamnagar,Oct,0.5,
Gujarat,Junagarh,Oct,427.1,
Gujarat,Rajkot,Oct,981.7,
Gujarat,Sabarkantha,Oct,71,
Gujarat,Surat,Oct,92.46,
Gujarat,Vadodara,Oct,546,
Gujarat,Bhavnagar,Oct,353,
Gujarat,Amreli,Nov,14.7,
Gujarat,Bhavnagar,Nov,0.1,
Gujarat,Dahod,Nov,6085.6,
Gujarat,Jamnagar,Nov,0.2,
Gujarat,Junagarh,Nov,2986,
Gujarat,Rajkot,Nov,6052.7,
Gujarat,Sabarkantha,Nov,9754,
Gujarat,Surat,Nov,867.12,
Gujarat,Vadodara,Nov,354,
karnataka,Bangalore,Jan,16,
karnataka,Belgaum,Jan,4009,
karnataka,Bidar,Jan,4110,
karnataka,Dharwad,Jan,2418,
karnataka,Gulbarga,Jan,288,
karnataka,Haveri,Jan,383,
karnataka,Bangalore,Feb,17,
karnataka,Belgaum,Feb,1854,
karnataka,Bidar,Feb,1378,
karnataka,Dharwad,Feb,2368,
karnataka,Gulbarga,Feb,211,
karnataka,Haveri,Feb,427,
karnataka,Bangalore,Mar,24,
karnataka,Belgaum,Mar,1384,
karnataka,Bidar,Mar,841,
karnataka,Dharwad,Mar,2013,
karnataka,Gulbarga,Mar,146,
karnataka,Haveri,Mar,544,
karnataka,Bangalore,Apr,16,
karnataka,Belgaum,Apr,1795,
karnataka,Bidar,Apr,1126,
karnataka,Dharwad,Apr,4288,
karnataka,Gulbarga,Apr,114,
karnataka,Haveri,Apr,1062,
karnataka,Bangalore,May,39,
karnataka,Belgaum,May,589,
karnataka,Bidar,May,542,
karnataka,Dharwad,May,2587,
karnataka,Gulbarga,May,21,
karnataka,Haveri,May,681,
karnataka,Bangalore,Jun,13,
karnataka,Belgaum,Jun,327,
karnataka,Bidar,Jun,524,
karnataka,Dharwad,Jun,692,
karnataka,Gulbarga,Jun,42,
karnataka,Haveri,Jun,332,
karnataka,Bangalore,Jul,10,
karnataka,Belgaum,Jul,219,
karnataka,Bidar,Jul,195,
karnataka,Dharwad,Jul,673,
karnataka,Gulbarga,Jul,5,
karnataka,Haveri,Jul,223,
karnataka,Bangalore,Aug,27,
karnataka,Belgaum,Aug,432,
karnataka,Bidar,Aug,455,
karnataka,Dharwad,Aug,1859,
karnataka,Haveri,Aug,273,
karnataka,Gulbarga,Aug,254,
karnataka,Bangalore,Sep,27,
karnataka,Belgaum,Sep,432,
karnataka,Bidar,Sep,455,
karnataka,Dharwad,Sep,1859,
karnataka,Haveri,Sep,273,
karnataka,Gulbarga,Sep,54,
karnataka,Bagalkot,Oct,27,
karnataka,Bangalore,Oct,33,
karnataka,Belgaum,Oct,3080,
karnataka,Bidar,Oct,11138,
karnataka,Dharwad,Oct,559,
karnataka,Gulbarga,Oct,243,
karnataka,Haveri,Oct,358,
karnataka,Bagalkot,Nov,18,
karnataka,Bangalore,Nov,9,
karnataka,Belgaum,Nov,5477,
karnataka,Bidar,Nov,17638,
karnataka,Dharwad,Nov,458,
karnataka,Gulbarga,Nov,697,
karnataka,Haveri,Nov,863,
MP,Alirajpur,Jan,1615.2,
MP,Anupur,Jan,3,
MP,Ashoknagar,Jan,13407.1,
MP,Badwani,Jan,627.05,
MP,Betul,Jan,6305.5,
MP,Bhopal,Jan,7918.4,
MP,Burhanpur,Jan,974.7,
MP,Chhatarpur,Jan,1900.77,
MP,Chhindwara,Jan,541.39,
MP,Damoh,Jan,7339.43,
MP,Datia,Jan,6.7,
MP,Dewas,Jan,56109.98,
MP,Dhar,Jan,42130.71,
MP,Dindori,Jan,776.03,
MP,Guna,Jan,13107.14,
MP,Gwalior,Jan,49.7,
MP,Harda,Jan,25236.9,
MP,Hoshangabad,Jan,11511.8,
MP,Indore,Jan,43641.2,
MP,Jabalpur,Jan,6.7,
MP,Jhabua,Jan,13096.11,
MP,Katni,Jan,0.3,
MP,Khandwa,Jan,14431.4,
MP,Khargone,Jan,6736.73,
MP,Mandsaur,Jan,41960.05,
MP,Morena,Jan,37.2,
MP,Narsinghpur,Jan,1086.1,
MP,Neemuch,Jan,59545.03,
MP,Panna,Jan,44,
MP,Raisen,Jan,5909.8,
MP,Rajgarh,Jan,38247.75,
MP,Ratlam,Jan,52769.14,
MP,Rewa,Jan,53.95,
MP,Sagar,Jan,31574.16,
MP,Satna,Jan,181.94,
MP,Sehore,Jan,41232.1,
MP,Seoni,Jan,71.38,
MP,Shajapur,Jan,32835.73,
MP,Shehdol,Jan,252.43,
MP,Sheopur,Jan,451.41,
MP,Shivpuri,Jan,6906.2,
MP,Tikamgarh,Jan,676.58,
MP,Ujjain,Jan,91726.1,
MP,Umariya,Jan,21.5,
MP,Vidisha,Jan,21619.58,
MP,Alirajpur,Feb,1298.1,
MP,Ashoknagar,Feb,5271.7,
MP,Badwani,Feb,348.89,
MP,Betul,Feb,2968.7,
MP,Bhopal,Feb,2260,
MP,Burhanpur,Feb,123.2,
MP,Chhatarpur,Feb,2132.01,
MP,Chhindwara,Feb,79.8,
MP,Damoh,Feb,2118,
MP,Datia,Feb,6.8,
MP,Dewas,Feb,12686.75,
MP,Dhar,Feb,14427.33,
MP,Dindori,Feb,392.86,
MP,Guna,Feb,4583.96,
MP,Gwalior,Feb,20,
MP,Harda,Feb,2358.9,
MP,Hoshangabad,Feb,815.7,
MP,Indore,Feb,12118.4,
MP,Jabalpur,Feb,0.1,
MP,Jhabua,Feb,2996.71,
MP,Katni,Feb,0.6,
MP,Khandwa,Feb,2164,
MP,Khargone,Feb,1418.63,
MP,Mandsaur,Feb,11813.25,
MP,Morena,Feb,2.9,
MP,Narsinghpur,Feb,244,
MP,Neemuch,Feb,31071.4,
MP,Panna,Feb,6.3,
MP,Raisen,Feb,2150,
MP,Rajgarh,Feb,13145.21,
MP,Ratlam,Feb,14840.82,
MP,Rewa,Feb,17.2,
MP,Sagar,Feb,6520.48,
MP,Satna,Feb,126.77,
MP,Sehore,Feb,13101.73,
MP,Seoni,Feb,46.2,
MP,Shajapur,Feb,10240.97,
MP,Shehdol,Feb,80.54,
MP,Sheopur,Feb,93.54,
MP,Shivpuri,Feb,3543.5,
MP,Tikamgarh,Feb,633.22,
MP,Ujjain,Feb,18661.73,
MP,Umariya,Feb,6.06,
MP,Vidisha,Feb,4721.31,
MP,Alirajpur,Mar,1741.4,
MP,Ashoknagar,Mar,3482.9,
MP,Badwani,Mar,167.57,
MP,Betul,Mar,3410,
MP,Bhopal,Mar,1558.8,
MP,Burhanpur,Mar,53.3,
MP,Chhatarpur,Mar,4804.17,
MP,Chhindwara,Mar,201.9,
MP,Damoh,Mar,1099,
MP,Datia,Mar,20.3,
MP,Dewas,Mar,5204.39,
MP,Dhar,Mar,8716.87,
MP,Dindori,Mar,465.34,
MP,Guna,Mar,2069.97,
MP,Gwalior,Mar,1,
MP,Harda,Mar,1504,
MP,Hoshangabad,Mar,891.4,
MP,Indore,Mar,7912.5,
MP,Jabalpur,Mar,0.5,
MP,Jhabua,Mar,1524.83,
MP,Katni,Mar,6.7,
MP,Khandwa,Mar,1706.5,
MP,Khargone,Mar,784.7,
MP,Mandla,Mar,11.58,
MP,Mandsaur,Mar,7766.96,
MP,Morena,Mar,0.5,
MP,Narsinghpur,Mar,156,
MP,Neemuch,Mar,16731.3,
MP,Panna,Mar,13.1,
MP,Raisen,Mar,1040.43,
MP,Rajgarh,Mar,5329.64,
MP,Ratlam,Mar,8749.76,
MP,Rewa,Mar,204.14,
MP,Sagar,Mar,5578.85,
MP,Satna,Mar,34.34,
MP,Sehore,Mar,8014.2,
MP,Seoni,Mar,37.3,
MP,Shajapur,Mar,4296.24,
MP,Shehdol,Mar,103.27,
MP,Sheopur,Mar,64.9,
MP,Shivpuri,Mar,1125.06,
MP,Tikamgarh,Mar,359.67,
MP,Ujjain,Mar,12052.63,
MP,Umariya,Mar,6.8,
MP,Vidisha,Mar,2822.3,
MP,Alirajpur,Apr,1696.81,
MP,Anupur,Apr,0.36,
MP,Ashoknagar,Apr,2296.2,
MP,Badwani,Apr,87.69,
MP,Betul,Apr,7289.28,
MP,Bhopal,Apr,1303,
MP,Burhanpur,Apr,160.5,
MP,Chhatarpur,Apr,4055.11,
MP,Chhindwara,Apr,418.9,
MP,Damoh,Apr,1658,
MP,Datia,Apr,13.5,
MP,Dewas,Apr,14572.52,
MP,Dhar,Apr,16533.26,
MP,Dindori,Apr,939.76,
MP,Guna,Apr,1312.98,
MP,Harda,Apr,737.8,
MP,Hoshangabad,Apr,996.3,
MP,Indore,Apr,10123.6,
MP,Jhabua,Apr,4861.34,
MP,Khandwa,Apr,1517.9,
MP,Khargone,Apr,505.99,
MP,Mandsaur,Apr,9126.21,
MP,Narsinghpur,Apr,173.46,
MP,Neemuch,Apr,24053.2,
MP,Panna,Apr,23.3,
MP,Raisen,Apr,217,
MP,Rajgarh,Apr,5453.79,
MP,Ratlam,Apr,10921.21,
MP,Rewa,Apr,211.4,
MP,Sagar,Apr,4813.98,
MP,Satna,Apr,12.63,
MP,Sehore,Apr,11066.81,
MP,Seoni,Apr,154.41,
MP,Shajapur,Apr,6295.1,
MP,Shehdol,Apr,263.98,
MP,Sheopur,Apr,23.4,
MP,Shivpuri,Apr,1594.31,
MP,Tikamgarh,Apr,944.59,
MP,Ujjain,Apr,18348.24,
MP,Vidisha,Apr,929,
MP,Alirajpur,May,1821.55,
MP,Ashoknagar,May,1326.9,
MP,Badwani,May,90.7,
MP,Betul,May,6970.1,
MP,Bhopal,May,502.2,
MP,Burhanpur,May,87.9,
MP,Chhatarpur,May,1993.67,
MP,Chhindwara,May,147.8,
MP,Damoh,May,513.1,
MP,Dewas,May,8287.89,
MP,Dhar,May,13761.1,
MP,Dindori,May,483.88,
MP,Guna,May,478.6,
MP,Gwalior,May,1.5,
MP,Harda,May,558.4,
MP,Hoshangabad,May,130.6,
MP,Indore,May,10417.4,
MP,Jhabua,May,1789.46,
MP,Khandwa,May,1788.2,
MP,Khargone,May,363.65,
MP,Mandsaur,May,8975.26,
MP,Narsinghpur,May,95.3,
MP,Neemuch,May,29652.1,
MP,Raisen,May,52.4,
MP,Rajgarh,May,6322.55,
MP,Ratlam,May,11983.3,
MP,Rewa,May,0.3,
MP,Sagar,May,4188.69,
MP,Satna,May,5.77,
MP,Sehore,May,8694,
MP,Seoni,May,6.7,
MP,Shajapur,May,5277.43,
MP,Shehdol,May,106.99,
MP,Sheopur,May,13.1,
MP,Shivpuri,May,613.85,
MP,Tikamgarh,May,353.97,
MP,Ujjain,May,23824.44,
MP,Vidisha,May,1058.1,
MP,Alirajpur,Jun,1396.78,
MP,Ashoknagar,Jun,4501.5,
MP,Badwani,Jun,103,
MP,Betul,Jun,6881.6,
MP,Bhopal,Jun,1502.6,
MP,Burhanpur,Jun,129.1,
MP,Chhatarpur,Jun,643.57,
MP,Chhindwara,Jun,261.1,
MP,Damoh,Jun,1096,
MP,Dewas,Jun,13073.61,
MP,Dhar,Jun,14144.49,
MP,Dindori,Jun,125.73,
MP,Guna,Jun,2983.19,
MP,Gwalior,Jun,0.5,
MP,Harda,Jun,2403.3,
MP,Hoshangabad,Jun,579.3,
MP,Indore,Jun,9600.2,
MP,Jhabua,Jun,1499,
MP,Khandwa,Jun,2808.9,
MP,Khargone,Jun,537.23,
MP,Mandsaur,Jun,12587.02,
MP,Narsinghpur,Jun,154.2,
MP,Neemuch,Jun,29649.7,
MP,Raisen,Jun,458,
MP,Rajgarh,Jun,8406.67,
MP,Ratlam,Jun,12679.14,
MP,Rewa,Jun,233.4,
MP,Sagar,Jun,4226.42,
MP,Satna,Jun,96.78,
MP,Sehore,Jun,11829.7,
MP,Seoni,Jun,16.94,
MP,Shajapur,Jun,8195.77,
MP,Shehdol,Jun,23.47,
MP,Sheopur,Jun,14.3,
MP,Shivpuri,Jun,1448.9,
MP,Tikamgarh,Jun,83.98,
MP,Ujjain,Jun,31649.69,
MP,Vidisha,Jun,4908,
MP,Alirajpur,Jul,1529.62,
MP,Ashoknagar,Jul,5166.3,
MP,Badwani,Jul,171.3,
MP,Betul,Jul,8174,
MP,Bhopal,Jul,3821.3,
MP,Burhanpur,Jul,172.9,
MP,Chhatarpur,Jul,814.18,
MP,Chhindwara,Jul,170,
MP,Damoh,Jul,3136,
MP,Dewas,Jul,18484.41,
MP,Dhar,Jul,19223.17,
MP,Dindori,Jul,227.01,
MP,Guna,Jul,4273.64,
MP,Gwalior,Jul,7.8,
MP,Harda,Jul,4137.1,
MP,Hoshangabad,Jul,1509.1,
MP,Indore,Jul,17319.7,
MP,Jabalpur,Jul,5.3,
MP,Jhabua,Jul,2360.86,
MP,Khandwa,Jul,2397.2,
MP,Khargone,Jul,568.69,
MP,Mandsaur,Jul,34985.59,
MP,Narsinghpur,Jul,804.1,
MP,Neemuch,Jul,27313.8,
MP,Panna,Jul,16.9,
MP,Raisen,Jul,2144,
MP,Rajgarh,Jul,15790.8,
MP,Ratlam,Jul,15621.75,
MP,Rewa,Jul,295.74,
MP,Sagar,Jul,13289.2,
MP,Satna,Jul,947.9,
MP,Sehore,Jul,18170.02,
MP,Seoni,Jul,38.35,
MP,Shajapur,Jul,11750.75,
MP,Shehdol,Jul,79.91,
MP,Sheopur,Jul,32.2,
MP,Shivpuri,Jul,1330.7,
MP,Tikamgarh,Jul,393.03,
MP,Ujjain,Jul,29055.85,
MP,Vidisha,Jul,7955.54,
MP,Alirajpur,Aug,1024.25,
MP,Ashoknagar,Aug,2562,
MP,Badwani,Aug,92.6,
MP,Betul,Aug,4432,
MP,Bhopal,Aug,1204.1,
MP,Burhanpur,Aug,68.7,
MP,Chhatarpur,Aug,3359.29,
MP,Chhindwara,Aug,272.4,
MP,Damoh,Aug,2536.5,
MP,Dewas,Aug,8716.6,
MP,Dhar,Aug,12129.63,
MP,Dindori,Aug,221.7,
MP,Guna,Aug,1224.49,
MP,Gwalior,Aug,3.8,
MP,Harda,Aug,1586.5,
MP,Hoshangabad,Aug,842.5,
MP,Indore,Aug,8196.6,
MP,Jabalpur,Aug,17.8,
MP,Jhabua,Aug,1668.35,
MP,Katni,Aug,0.8,
MP,Khandwa,Aug,2512.3,
MP,Khargone,Aug,451.75,
MP,Mandsaur,Aug,5320.54,
MP,Morena,Aug,16.7,
MP,Narsinghpur,Aug,414.7,
MP,Neemuch,Aug,11954.3,
MP,Raisen,Aug,1738.1,
MP,Rajgarh,Aug,6211.51,
MP,Ratlam,Aug,9264.82,
MP,Rewa,Aug,11.4,
MP,Sagar,Aug,14730.1,
MP,Satna,Aug,237.2,
MP,Sehore,Aug,9082.01,
MP,Seoni,Aug,30.59,
MP,Shajapur,Aug,4244.12,
MP,Shehdol,Aug,71.85,
MP,Sheopur,Aug,57.7,
MP,Shivpuri,Aug,815,
MP,Tikamgarh,Aug,563.61,
MP,Ujjain,Aug,9048.39,
MP,Vidisha,Aug,3122.5,
MP,Alirajpur,Sep,857.2,
MP,Anupur,Sep,48.2,
MP,Ashoknagar,Sep,469.2,
MP,Badwani,Sep,118.85,
MP,Betul,Sep,6252.7,
MP,Bhopal,Sep,1400.2,
MP,Burhanpur,Sep,126.9,
MP,Chhatarpur,Sep,1716.6,
MP,Chhindwara,Sep,189.3,
MP,Damoh,Sep,1307.9,
MP,Dewas,Sep,8651.41,
MP,Dhar,Sep,14063.49,
MP,Dindori,Sep,292.17,
MP,Guna,Sep,411.13,
MP,Harda,Sep,1046.2,
MP,Hoshangabad,Sep,829.3,
MP,Indore,Sep,11508.4,
MP,Jabalpur,Sep,21.4,
MP,Jhabua,Sep,2522.92,
MP,Khandwa,Sep,1989.2,
MP,Khargone,Sep,363.33,
MP,Mandsaur,Sep,5062.39,
MP,Morena,Sep,36.3,
MP,Narsinghpur,Sep,267.3,
MP,Neemuch,Sep,7194.5,
MP,Raisen,Sep,1245,
MP,Rajgarh,Sep,3153.95,
MP,Ratlam,Sep,9090.04,
MP,Rewa,Sep,13.25,
MP,Sagar,Sep,7427.8,
MP,Satna,Sep,124.06,
MP,Sehore,Sep,6997.5,
MP,Seoni,Sep,49.62,
MP,Shajapur,Sep,2649.94,
MP,Shehdol,Sep,27.7,
MP,Sheopur,Sep,103.1,
MP,Shivpuri,Sep,695.08,
MP,Tikamgarh,Sep,228.1,
MP,Ujjain,Sep,9896.96,
MP,Vidisha,Sep,1654.8,
MP,Alirajpur,Oct,805.5,
MP,Ashoknagar,Oct,27809.4,
MP,Badwani,Oct,94.38,
MP,Betul,Oct,244.5,
MP,Bhopal,Oct,12566.3,
MP,Burhanpur,Oct,782.8,
MP,Chhatarpur,Oct,687.83,
MP,Chhindwara,Oct,108.2,
MP,Damoh,Oct,10143,
MP,Dewas,Oct,46300.22,
MP,Dhar,Oct,23857.28,
MP,Dindori,Oct,51.99,
MP,Guna,Oct,40492.33,
MP,Gwalior,Oct,115,
MP,Harda,Oct,24599.2,
MP,Hoshangabad,Oct,5237.5,
MP,Indore,Oct,33499.8,
MP,Jabalpur,Oct,18.35,
MP,Jhabua,Oct,10025.29,
MP,Katni,Oct,0.2,
MP,Khandwa,Oct,20067.57,
MP,Khargone,Oct,6661.81,
MP,Mandsaur,Oct,9473.66,
MP,Morena,Oct,11,
MP,Narsinghpur,Oct,1086.7,
MP,Neemuch,Oct,21161.2,
MP,Panna,Oct,156.6,
MP,Raisen,Oct,5789.2,
MP,Rajgarh,Oct,47097.45,
MP,Ratlam,Oct,25922.41,
MP,Sagar,Oct,32477.5,
MP,Satna,Oct,1710.21,
MP,Sehore,Oct,36707.32,
MP,Seoni,Oct,8.8,
MP,Shajapur,Oct,32380.47,
MP,Sheopur,Oct,2602.7,
MP,Shivpuri,Oct,24136.5,
MP,Tikamgarh,Oct,1082.74,
MP,Ujjain,Oct,75782.86,
MP,Vidisha,Oct,31189.1,
MP,Alirajpur,Nov,1718.4,
MP,Ashoknagar,Nov,44395,
MP,Badwani,Nov,551.44,
MP,Betul,Nov,3623.2,
MP,Bhopal,Nov,20347.7,
MP,Burhanpur,Nov,2412,
MP,Chhatarpur,Nov,1102.6,
MP,Chhindwara,Nov,190.8,
MP,Damoh,Nov,13749,
MP,Dewas,Nov,61801.52,
MP,Dhar,Nov,39825.91,
MP,Dindori,Nov,572.4,
MP,Guna,Nov,48177.56,
MP,Gwalior,Nov,147.8,
MP,Harda,Nov,36801.7,
MP,Hoshangabad,Nov,13131.2,
MP,Indore,Nov,36518,
MP,Jabalpur,Nov,41.5,
MP,Jhabua,Nov,24651.04,
MP,Katni,Nov,15.3,
MP,Khandwa,Nov,13649.2,
MP,Khargone,Nov,10799.32,
MP,Mandla,Nov,1.1,
MP,Mandsaur,Nov,16510.04,
MP,Morena,Nov,46.2,
MP,Narsinghpur,Nov,4167.18,
MP,Neemuch,Nov,33575.6,
MP,Panna,Nov,124.2,
MP,Raisen,Nov,7217.5,
MP,Rajgarh,Nov,56513.31,
MP,Ratlam,Nov,52218.49,
MP,Rewa,Nov,5.7,
MP,Sagar,Nov,45190.8,
MP,Satna,Nov,2708.95,
MP,Sehore,Nov,55850.27,
MP,Shajapur,Nov,43523.07,
MP,Shehdol,Nov,292,
MP,Sheopur,Nov,2305.2,
MP,Shivpuri,Nov,37217.01,
MP,Tikamgarh,Nov,1715.53,
MP,Ujjain,Nov,98430.3,
MP,Umariya,Nov,267.16,
MP,Vidisha,Nov,46863.2,
maharastra,Ahmednagar,Jan,14,
maharastra,Akola,Jan,361,
maharastra,Amarawati,Jan,201,
maharastra,Aurangabad,Jan,2,
maharastra,Beed,Jan,87,
maharastra,Pune,Jan,52,
maharastra,Buldhana,Jan,728,
maharastra,Chandrapur,Jan,14,
maharastra,Hingoli,Jan,171,
maharastra,Jalana,Jan,77,
maharastra,Jalgaon,Jan,13,
maharastra,Latur,Jan,377,
maharastra,Nagpur,Jan,98,
maharastra,Nanded,Jan,82,
maharastra,Nandurbar,Jan,5,
maharastra,Nashik,Jan,21,
maharastra,Osmanabad,Jan,65,
maharastra,Parbhani,Jan,51,
maharastra,Sholapur,Jan,13,
maharastra,Vashim,Jan,991,
maharastra,Wardha,Jan,294,
maharastra,Yavatmal,Jan,276,
maharastra,Ahmednagar,Feb,437,
maharastra,Akola,Feb,5000,
maharastra,Amarawati,Feb,12660,
maharastra,Aurangabad,Feb,80,
maharastra,Beed,Feb,2608,
maharastra,Buldhana,Feb,12799,
maharastra,Chandrapur,Feb,369,
maharastra,Hingoli,Feb,2493,
maharastra,Jalana,Feb,1977,
maharastra,Jalgaon,Feb,165,
maharastra,Latur,Feb,30769,
maharastra,Nagpur,Feb,4032,
maharastra,Nanded,Feb,1172,
maharastra,Nandurbar,Feb,143,
maharastra,Nashik,Feb,705,
maharastra,Osmanabad,Feb,751,
maharastra,Parbhani,Feb,678,
maharastra,Pune,Feb,86,
maharastra,Sholapur,Feb,26,
maharastra,Vashim,Feb,18180,
maharastra,Wardha,Feb,9891,
maharastra,Yavatmal,Feb,6589,
maharastra,Ahmednagar,Mar,303,
maharastra,Akola,Mar,4105, 
maharastra,Amarawati,Mar,6874,
maharastra,Aurangabad,Mar,21,
maharastra,Beed,Mar,2114,
maharastra,Buldhana,Mar,12465,
maharastra,Chandrapur,Mar,335,
maharastra,Hingoli,Mar,1466,
maharastra,Jalana,Mar,1100,
maharastra,Jalgaon,Mar,68,
