state,district,esti.prod,model.price
Maharastra,Buldhana,3.963,1161
Maharastra,Vashim,3.148,754
Maharastra,Latur,3.073,750
Maharastra,Wardha,0.886,735
Maharastra,Beed ,1.518,627
Maharastra,Yavatmal,2.578,617
Maharastra,Amarawati,2.727,588
Maharastra,Hingoli ,2.833,578
Maharastra,Akola ,1.849,496
Maharastra,Nashik ,0.658,469
