arrival_date,state,variety,district,modal_price
Sep,Madhya Pradesh,Other,Chhindwara,3245.66666666667
Sep,Madhya Pradesh,Other,Chhatarpur,3383.33333333333
Sep,Madhya Pradesh,Other,Badwani,3311
Sep,Madhya Pradesh,Other,Ashoknagar,3430.5
Sep,Madhya Pradesh,Other,Alirajpur,3350
Sep,Madhya Pradesh,Local,Mandsaur,3670
Sep,Madhya Pradesh,Yellow,Badwani,3482.125
Sep,Madhya Pradesh,Local,Dindori,3293.75
Sep,Madhya Pradesh,Black,Tikamgarh,3309
Sep,Madhya Pradesh,Black,Shivpuri,3115
Sep,Madhya Pradesh,Black,Raisen,3460
Sep,Karnataka,Soyabeen,Haveri,3553.75
Sep,Karnataka,Soyabeen,Gulbarga,3291.2
Sep,Karnataka,Soyabeen,Dharwad,3444.09090909091
Sep,Karnataka,Soyabeen,Bidar,3637.42857142857
Sep,Madhya Pradesh,Local,Chhindwara,3250.5
Sep,Madhya Pradesh,Yellow,Betul,3540.75
Sep,Uttar Pradesh,Yellow,Lalitpur,3584
Sep,Madhya Pradesh,Yellow,Burhanpur,3525
Sep,Maharashtra,Yellow,Chandrapur,3399.2
Sep,Maharashtra,Yellow,Buldhana,3450.80487804878
Sep,Maharashtra,Yellow,Beed,3525.92307692308
Sep,Maharashtra,Yellow,Amarawati,3380.58333333333
Sep,Maharashtra,Yellow,Akola,3471.8
Sep,Maharashtra,Yellow,Ahmednagar,3450
Sep,Maharashtra,Other,Vashim,3528.6875
Sep,Maharashtra,Other,Sholapur,3685.5
Sep,Maharashtra,Other,Satara,3750
Sep,Maharashtra,Other,Parbhani,3447
Sep,Maharashtra,Other,Osmanabad,3676
Sep,Maharashtra,Other,Nashik,3542.73333333333
Sep,Maharashtra,Other,Nandurbar,3496.2
Sep,Maharashtra,Other,Nanded,3560.5
Sep,Maharashtra,Other,Nagpur,3450
Sep,Maharashtra,Yellow,Hingoli,3525.38461538462
Sep,Maharashtra,Yellow,Jalgaon,3437.33333333333
Sep,Maharashtra,Yellow,Latur,3599.8275862069
Sep,Maharashtra,Yellow,Nagpur,3422.85714285714
Sep,Madhya Pradesh,Yellow,Bhopal,3365.8
Sep,Rajasthan,Yellow,Chittorgarh,3548.25
Sep,Rajasthan,Other,Udaipur,3550
Sep,Rajasthan,Other,Swai Madhopur,3505.5
Sep,Rajasthan,Other,Kota,3515.6
Sep,Rajasthan,Other,Jhalawar,3564.13793103448
Sep,Rajasthan,Other,Chittorgarh,3439.83333333333
Sep,Maharashtra,Other,Latur,3621.83333333333
Sep,Rajasthan,Other,Bundi,3509.34615384615
Sep,Maharashtra,Yellow,Yavatmal,3497.77272727273
Sep,Maharashtra,Yellow,Wardha,3442.70833333333
Sep,Maharashtra,Yellow,Vashim,3556.66666666667
Sep,Maharashtra,Yellow,Parbhani,3538
Sep,Maharashtra,Yellow,Osmanabad,3591.9
Sep,Maharashtra,Yellow,Nashik,3180
Sep,Maharashtra,Yellow,Nanded,3480.11111111111
Sep,Rajasthan,Other,Baran,3471.68181818182
Sep,Maharashtra,Other,Jalgaon,3394.57142857143
Sep,Maharashtra,Yellow,Jalana,3534.4375
Sep,Maharashtra,Other,Chandrapur,3577
Sep,Madhya Pradesh,Yellow,Morena,3365.5
Sep,Madhya Pradesh,Yellow,Mandsaur,3468.33333333333
Sep,Madhya Pradesh,Yellow,Khargone,3325
Sep,Madhya Pradesh,Yellow,Khandwa,3523.125
Sep,Madhya Pradesh,Yellow,Jhabua,3484.44444444444
Sep,Madhya Pradesh,Yellow,Indore,3563.1
Sep,Madhya Pradesh,Yellow,Hoshangabad,3408.33333333333
Sep,Madhya Pradesh,Yellow,Harda,3420.75
Sep,Madhya Pradesh,Yellow,Gwalior,3000
Sep,Madhya Pradesh,Yellow,Dhar,3484.88
Sep,Madhya Pradesh,Yellow,Dewas,3449.625
Sep,Madhya Pradesh,Yellow,Datia,3345
Sep,Madhya Pradesh,Yellow,Damoh,3443.57142857143
Sep,Maharashtra,Other,Hingoli,3490.71428571429
Sep,Madhya Pradesh,Yellow,Chhindwara,3370
Sep,Madhya Pradesh,Yellow,Narsinghpur,3299.5
Sep,Madhya Pradesh,Yellow,Neemuch,3611.66666666667
Sep,Madhya Pradesh,Yellow,Jabalpur,2520
Sep,Madhya Pradesh,Yellow,Chhatarpur,3433.33333333333
Sep,Maharashtra,Other,Buldhana,3505
Sep,Madhya Pradesh,Yellow,Raisen,3365
Sep,Maharashtra,Other,Aurangabad,3562.5
Sep,Maharashtra,Other,Amarawati,3421
Sep,Maharashtra,Other,Akola,3550
Sep,Maharashtra,Other,Ahmednagar,3517
Sep,Madhya Pradesh,Yellow,Vidisha,3415.41176470588
Sep,Madhya Pradesh,Yellow,Ujjain,3550.29166666667
Sep,Maharashtra,Other,Beed,3674.11111111111
Sep,Madhya Pradesh,Yellow,Shivpuri,3470.71428571429
Sep,Madhya Pradesh,Yellow,Shajapur,3465.2
Sep,Madhya Pradesh,Yellow,Sehore,3515.52631578947
Sep,Madhya Pradesh,Yellow,Sagar,3430
Sep,Madhya Pradesh,Yellow,Rewa,2950
