Date,Modal Price (Rs./Quintal)
10 Nov 2018,1200
03 Nov 2018,1200
31 Oct 2018,1200
30 Oct 2018,1200
29 Oct 2018,1200
27 Oct 2018,1200
26 Oct 2018,1300
25 Oct 2018,1300
22 Oct 2018,1300
20 Oct 2018,1300
18 Oct 2018,1173
16 Oct 2018,1421
15 Oct 2018,1421
11 Oct 2018,1365
08 Oct 2018,1445
05 Oct 2018,1431
04 Oct 2018,1043
01 Oct 2018,1392
28 Sep 2018,1411
26 Sep 2018,1201
25 Sep 2018,1335
22 Sep 2018,1029
21 Sep 2018,1002
20 Sep 2018,1516
18 Sep 2018,1340
17 Sep 2018,1438
15 Sep 2018,1394
31 Aug 2018,1337
28 Aug 2018,1340
27 Aug 2018,1351
25 Aug 2018,1364
24 Aug 2018,1272
21 Aug 2018,1400
20 Aug 2018,1311
18 Aug 2018,1490
14 Aug 2018,1261
13 Aug 2018,1380
09 Aug 2018,1418
07 Aug 2018,1367
06 Aug 2018,1375
04 Aug 2018,1255
03 Aug 2018,1361
01 Aug 2018,1170
21 Jul 2018,1316
19 Jul 2018,1318
18 Jul 2018,1334
16 Jul 2018,1275
14 Jul 2018,2089
12 Jul 2018,1283
11 Jul 2018,1400
10 Jul 2018,1391
09 Jul 2018,1285
06 Jul 2018,1200
05 Jul 2018,1411
03 Jul 2018,1345
02 Jul 2018,1226
30 Jun 2018,1351
29 Jun 2018,1263
28 Jun 2018,1271
27 Jun 2018,1307
26 Jun 2018,1360
25 Jun 2018,1148
20 Jun 2018,1308
19 Jun 2018,1391
18 Jun 2018,1290
15 Jun 2018,1475
14 Jun 2018,1327
12 Jun 2018,1274
11 Jun 2018,1130
09 Jun 2018,1314
08 Jun 2018,1333
06 Jun 2018,700
05 Jun 2018,1201
30 May 2018,1171
29 May 2018,1050
28 May 2018,1100
25 May 2018,1265
22 May 2018,1270
21 May 2018,1291
19 May 2018,1271
18 May 2018,1250
17 May 2018,1256
16 May 2018,1190
14 May 2018,1100
11 May 2018,1160
10 May 2018,1075
09 May 2018,1193
08 May 2018,1276
07 May 2018,1171
27 Apr 2018,1146
26 Apr 2018,1124
25 Apr 2018,1180
23 Apr 2018,1125
19 Apr 2018,853
18 Apr 2018,1100
17 Apr 2018,1126
13 Apr 2018,1175
12 Apr 2018,900
11 Apr 2018,1188
10 Apr 2018,1145
09 Apr 2018,1150
07 Apr 2018,1100
06 Apr 2018,1226
05 Apr 2018,1151
04 Apr 2018,1260
03 Apr 2018,1114
02 Apr 2018,1105
28 Mar 2018,1000
27 Mar 2018,1144
26 Mar 2018,1118
24 Mar 2018,1156
23 Mar 2018,1180
21 Mar 2018,1207
20 Mar 2018,1226
16 Mar 2018,1201
15 Mar 2018,1091
14 Mar 2018,1151
10 Mar 2018,1135
09 Mar 2018,1183
07 Mar 2018,1100
05 Mar 2018,1134
03 Mar 2018,1130
01 Mar 2018,1132
28 Feb 2018,1127
27 Feb 2018,1189
26 Feb 2018,1244
23 Feb 2018,1141
22 Feb 2018,1177
21 Feb 2018,1173
20 Feb 2018,1120
19 Feb 2018,1150
16 Feb 2018,1146
10 Feb 2018,1172
08 Feb 2018,1130
07 Feb 2018,1150
06 Feb 2018,1157
05 Feb 2018,1173
03 Feb 2018,1162
02 Feb 2018,1185
01 Feb 2018,1142
31 Jan 2018,1152
30 Jan 2018,1130
29 Jan 2018,1154
27 Jan 2018,1144
25 Jan 2018,1138
24 Jan 2018,1141
23 Jan 2018,1158
22 Jan 2018,1153
20 Jan 2018,970
19 Jan 2018,1134
18 Jan 2018,1182
16 Jan 2018,1164
15 Jan 2018,1120
13 Jan 2018,1195
12 Jan 2018,1144
11 Jan 2018,1161
10 Jan 2018,1141
09 Jan 2018,1100
08 Jan 2018,1156
06 Jan 2018,1134
05 Jan 2018,1157
04 Jan 2018,1143
03 Jan 2018,1131
02 Jan 2018,1195
01 Jan 2018,1136
29 Dec 2017,1139
28 Dec 2017,1125
27 Dec 2017,1134
26 Dec 2017,1130
25 Dec 2017,1144
23 Dec 2017,1139
22 Dec 2017,1129
21 Dec 2017,1145
20 Dec 2017,1156
19 Dec 2017,1175
16 Dec 2017,1167
15 Dec 2017,1190
14 Dec 2017,1181
13 Dec 2017,1151
12 Dec 2017,1100
11 Dec 2017,2600
09 Dec 2017,1100
07 Dec 2017,1088
02 Dec 2017,1100
01 Dec 2017,1124
30 Nov 2017,1084
29 Nov 2017,1101
28 Nov 2017,1050
27 Nov 2017,1100
25 Nov 2017,1066
24 Nov 2017,1091
23 Nov 2017,1050
22 Nov 2017,1041
21 Nov 2017,1077
20 Nov 2017,1106
17 Nov 2017,1045
16 Nov 2017,1070
15 Nov 2017,1050
14 Nov 2017,1070
13 Nov 2017,1081
11 Nov 2017,1073
10 Nov 2017,1110
09 Nov 2017,1125
08 Nov 2017,1132
06 Nov 2017,1139
04 Nov 2017,1127
02 Nov 2017,1118
01 Nov 2017,1100
31 Oct 2017,1085
30 Oct 2017,1111
28 Oct 2017,1100
27 Oct 2017,1166
26 Oct 2017,1161
25 Oct 2017,1150
24 Oct 2017,1210
23 Oct 2017,1271
16 Oct 2017,1296
14 Oct 2017,1385
13 Oct 2017,1652
12 Oct 2017,1202
11 Oct 2017,1301
10 Oct 2017,1200
09 Oct 2017,1254
07 Oct 2017,1259
06 Oct 2017,1250
05 Oct 2017,1000
04 Oct 2017,1177
03 Oct 2017,1041
28 Sep 2017,1291
27 Sep 2017,1311
26 Sep 2017,1351
25 Sep 2017,1275
23 Sep 2017,1310
22 Sep 2017,1342
19 Sep 2017,1346
18 Sep 2017,1401
16 Sep 2017,1357
15 Sep 2017,1341
14 Sep 2017,1300
13 Sep 2017,1381
12 Sep 2017,1391
11 Sep 2017,1300
09 Sep 2017,1350
08 Sep 2017,1412
07 Sep 2017,1415
06 Sep 2017,1346
04 Sep 2017,1355
02 Sep 2017,1465
31 Aug 2017,1459
30 Aug 2017,1625
29 Aug 2017,1345
28 Aug 2017,1500
24 Aug 2017,1344
23 Aug 2017,1300
21 Aug 2017,1381
19 Aug 2017,1346
18 Aug 2017,1381
14 Aug 2017,1302
12 Aug 2017,1355
11 Aug 2017,1420
10 Aug 2017,1325
08 Aug 2017,1220
05 Aug 2017,1390
04 Aug 2017,1403
03 Aug 2017,1426
01 Aug 2017,1455
31 Jul 2017,1365
28 Jul 2017,1392
27 Jul 2017,1350
25 Jul 2017,1300
22 Jul 2017,1371
20 Jul 2017,1300
19 Jul 2017,1431
18 Jul 2017,1300
17 Jul 2017,1376
13 Jul 2017,1425
11 Jul 2017,1400
10 Jul 2017,1300
08 Jul 2017,1351
07 Jul 2017,1415
06 Jul 2017,1325
05 Jul 2017,1400
04 Jul 2017,1371
01 Jul 2017,1500
30 Jun 2017,1225
29 Jun 2017,1300
27 Jun 2017,1437
26 Jun 2017,1375
22 Jun 2017,1355
27 May 2017,1314
26 May 2017,1232
23 May 2017,1320
22 May 2017,1301
20 May 2017,1330
19 May 2017,1308
17 May 2017,1301
16 May 2017,1200
15 May 2017,1250
13 May 2017,1201
12 May 2017,1310
11 May 2017,1150
10 May 2017,1250
08 May 2017,1300
06 May 2017,1325
05 May 2017,1300
04 May 2017,1250
03 May 2017,1336
01 May 2017,1250
27 Apr 2017,1400
24 Apr 2017,1309
22 Apr 2017,1319
21 Apr 2017,1305
19 Apr 2017,1304
18 Apr 2017,1300
17 Apr 2017,1347
13 Apr 2017,1341
12 Apr 2017,1326
10 Apr 2017,1345
08 Apr 2017,1359
07 Apr 2017,1372
06 Apr 2017,1388
04 Apr 2017,1341
01 Apr 2017,1324
31 Mar 2017,1360
30 Mar 2017,1341
27 Mar 2017,1650
25 Mar 2017,1367
24 Mar 2017,1367
23 Mar 2017,2000
22 Mar 2017,2000
21 Mar 2017,1380
20 Mar 2017,2075
18 Mar 2017,1990
16 Mar 2017,1367
15 Mar 2017,1370
14 Mar 2017,1382
11 Mar 2017,1384
10 Mar 2017,1373
09 Mar 2017,1375
07 Mar 2017,1346
06 Mar 2017,1390
04 Mar 2017,1351
03 Mar 2017,1341
02 Mar 2017,1351
01 Mar 2017,1385
28 Feb 2017,1365
23 Feb 2017,1359
22 Feb 2017,1370
21 Feb 2017,1400
20 Feb 2017,1358
17 Feb 2017,1399
16 Feb 2017,1399
15 Feb 2017,1411
14 Feb 2017,1418
13 Feb 2017,1385
11 Feb 2017,1425
10 Feb 2017,1373
09 Feb 2017,4350
08 Feb 2017,1350
07 Feb 2017,1350
06 Feb 2017,1300
04 Feb 2017,1390
03 Feb 2017,1325
31 Jan 2017,1379
30 Jan 2017,1300
28 Jan 2017,1400
24 Jan 2017,1350
21 Jan 2017,1325
20 Jan 2017,1300
19 Jan 2017,1376
18 Jan 2017,1352
17 Jan 2017,1350
16 Jan 2017,1325
13 Jan 2017,1396
12 Jan 2017,1350
11 Jan 2017,1395
10 Jan 2017,1300
09 Jan 2017,1380
06 Jan 2017,1382
05 Jan 2017,1300
04 Jan 2017,1350
03 Jan 2017,1300
02 Jan 2017,1350
31 Dec 2019,2031
30 Dec 2019,1930
28 Dec 2019,1855
27 Dec 2019,1855
24 Dec 2019,1870
23 Dec 2019,1940
21 Dec 2019,1884
19 Dec 2019,1900
