Date,Close Price
2-Jan-17,3068
3-Jan-17,3042
4-Jan-17,3018
5-Jan-17,3027
6-Jan-17,3028
9-Jan-17,2996
10-Jan-17,2981
11-Jan-17,2981
12-Jan-17,2993
13-Jan-17,3019
16-Jan-17,3030
17-Jan-17,3130
18-Jan-17,3123
19-Jan-17,3124
20-Jan-17,3073
23-Jan-17,3098
24-Jan-17,3090
25-Jan-17,3068
27-Jan-17,3046
30-Jan-17,3031
31-Jan-17,3036
1-Feb-17,3044
2-Feb-17,3043
3-Feb-17,3043
6-Feb-17,3033
7-Feb-17,3020
8-Feb-17,3020
9-Feb-17,3022
10-Feb-17,2995
13-Feb-17,2960
14-Feb-17,2968
15-Feb-17,2971
16-Feb-17,2954
17-Feb-17,2894
20-Feb-17,2879
21-Feb-17,2919
22-Feb-17,2897
23-Feb-17,2895
24-Feb-17,2895
27-Feb-17,2908
28-Feb-17,2937
1-Mar-17,2923
2-Mar-17,2917
3-Mar-17,2899
6-Mar-17,2835
7-Mar-17,2814
8-Mar-17,2805
9-Mar-17,2807
10-Mar-17,2798
13-Mar-17,2798
14-Mar-17,2788
15-Mar-17,2819
16-Mar-17,2835
17-Mar-17,2830
20-Mar-17,2847
23-Mar-17,2953
24-Mar-17,2892
27-Mar-17,2876
28-Mar-17,2879
29-Mar-17,2887
30-Mar-17,2861
31-Mar-17,2855
3-Apr-17,2870
4-Apr-17,2870
5-Apr-17,2879
6-Apr-17,2856
7-Apr-17,2839
10-Apr-17,2834
11-Apr-17,2843
12-Apr-17,2900
13-Apr-17,2929
17-Apr-17,2916
18-Apr-17,2924
19-Apr-17,2923
20-Apr-17,2971
21-Apr-17,3057
24-Apr-17,3047
25-Apr-17,2986
26-Apr-17,2966
27-Apr-17,2940
28-Apr-17,2934
2-May-17,2893
3-May-17,2841
4-May-17,2863
5-May-17,2896
8-May-17,2874
9-May-17,2865
10-May-17,2844
11-May-17,2841
12-May-17,2845
15-May-17,2825
16-May-17,2782
17-May-17,2803
18-May-17,2785
19-May-17,2820
24-May-17,2731
25-May-17,2744
26-May-17,2761
29-May-17,2699
