,Date,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
4269,19 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2711.0,3061.0,2885.0
4469,20 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2700.0,3025.0,2900.0
4476,20 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,3085.0,2850.0
4508,20 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2745.0,3084.0,2925.0
4531,20 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2700.0,3026.0,2908.0
4637,21 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2700.0,3025.0,2900.0
4644,21 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,2990.0,2860.0
4677,21 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2640.0,3029.0,2835.0
4698,21 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2802.0,2985.0,2840.0
4848,23 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2700.0,3034.0,2900.0
4881,23 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2765.0,3080.0,2920.0
4903,23 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2681.0,3000.0,2821.0
5054,24 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2600.0,3054.0,2900.0
5061,24 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,3000.0,2900.0
5091,24 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2755.0,3060.0,2910.0
5314,25 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2700.0,3045.0,2900.0
5353,25 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2680.0,2996.0,2840.0
5374,25 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2700.0,2909.0,2850.0
5585,27 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2600.0,3100.0,2900.0
5624,27 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2750.0,2910.0,2825.0
5785,28 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2690.0,3016.0,2900.0
5790,28 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,2950.0,2850.0
5805,28 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2720.0,3000.0,2860.0
5818,28 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2750.0,3061.0,2846.0
5929,29 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2800.0,2800.0,2800.0
6029,30 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2690.0,3015.0,2900.0
6034,30 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,3005.0,2880.0
6061,30 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2750.0,3050.0,2900.0
6083,30 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2700.0,2899.0,2800.0
6285,31 Jan 17,Indore,Gautampura,Soyabean,Other,FAQ,2650.0,3000.0,2800.0
6290,31 Jan 17,Indore,Indore,Soyabean,Yellow,FAQ,1400.0,3025.0,2875.0
6318,31 Jan 17,Indore,Mhow,Soyabean,Other,FAQ,2755.0,2977.0,2865.0
6341,31 Jan 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2751.0,2884.0,2850.0
6569,1 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2790.0,3040.0,2915.0
6590,1 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2700.0,2851.0,2775.0
6783,2 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2690.0,2950.0,2850.0
6817,2 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2767.0,3038.0,2905.0
6839,2 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2800.0,2941.0,2810.0
7043,3 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2555.0,3010.0,2900.0
7071,3 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2740.0,3118.0,2930.0
7090,3 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2792.0,2982.0,2825.0
7285,4 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2680.0,3000.0,2900.0
7291,4 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,2975.0,2975.0
7318,4 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2776.0,3048.0,2910.0
7343,4 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2750.0,3003.0,2901.0
7574,6 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2670.0,3012.0,2900.0
7581,6 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,2950.0,2850.0
7833,7 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2680.0,3000.0,2900.0
7840,7 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,3075.0,2900.0
7869,7 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2700.0,3019.0,2860.0
7892,7 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2700.0,2968.0,2841.0
8093,8 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2670.0,3100.0,3000.0
8099,8 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,3090.0,2900.0
8122,8 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2697.0,3014.0,2850.0
8145,8 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2695.0,2935.0,2845.0
8354,9 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2675.0,3000.0,2900.0
8361,9 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,1200.0,3005.0,2875.0
8390,9 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2730.0,3025.0,2880.0
8413,9 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2711.0,2956.0,2841.0
8577,10 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2800.0,2900.0,2850.0
8581,10 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,1200.0,3005.0,2875.0
8599,10 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2710.0,2986.0,2850.0
8768,11 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2675.0,2986.0,2825.0
8773,11 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,3100.0,2875.0
8794,11 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2744.0,3117.0,2930.0
8809,11 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2802.0,2985.0,2870.0
9015,13 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2800.0,3000.0,2900.0
9023,13 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2560.0,2960.0,2850.0
9056,13 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2680.0,2983.0,2835.0
9076,13 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2700.0,2875.0,2800.0
9285,14 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2750.0,2914.0,2850.0
9292,14 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,2925.0,2800.0
9323,14 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2700.0,2958.0,2830.0
9345,14 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2690.0,2858.0,2760.0
9542,15 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2725.0,2940.0,2850.0
9549,15 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,2940.0,2800.0
9580,15 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2700.0,3020.0,2860.0
9606,15 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2690.0,2992.0,2761.0
9798,16 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2800.0,2885.0,2825.0
9806,16 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2450.0,3000.0,2800.0
