,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
0,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,1,Ratlam,A lot,Maize,Other,FAQ,1623,1623,1623,19 Nov 2019
2,2,Ratlam,A lot,Maize,Other,FAQ,1851,1851,1851,05 Nov 2019
3,3,Ratlam,A lot,Maize,Other,FAQ,1859,1870,1865,04 Feb 2019
4,4,Ratlam,A lot,Maize,Other,FAQ,1862,1862,1862,31 Jan 2019
5,5,Ratlam,A lot,Maize,Other,FAQ,1801,1801,1801,29 Jan 2019
6,6,Ratlam,A lot,Maize,Other,FAQ,1741,1741,1741,19 Jan 2019
7,7,Ratlam,A lot,Maize,Other,FAQ,1600,1611,1611,15 Jan 2019
8,8,Ratlam,A lot,Maize,Other,FAQ,1633,1633,1633,08 Jan 2019
9,9,Ratlam,A lot,Maize,Other,FAQ,1617,1617,1617,07 Jan 2019
10,10,Ratlam,A lot,Maize,Other,FAQ,1590,1590,1590,05 Jan 2019
11,11,Ratlam,A lot,Maize,Other,FAQ,1604,1604,1604,04 Jan 2019
12,12,Ratlam,A lot,Maize,Other,FAQ,1601,1601,1601,02 Jan 2019
13,13,Ratlam,A lot,Maize,Other,FAQ,1616,1616,1616,31 Dec 2018
14,14,Ratlam,A lot,Maize,Other,FAQ,1627,1627,1627,27 Dec 2018
15,15,Ratlam,A lot,Maize,Other,FAQ,1600,1600,1600,24 Dec 2018
16,16,Ratlam,A lot,Maize,Other,FAQ,1640,1670,1650,20 Dec 2018
17,17,Ratlam,A lot,Maize,Other,FAQ,1679,1679,1679,19 Dec 2018
18,18,Ratlam,A lot,Maize,Other,FAQ,1616,1639,1639,18 Dec 2018
19,19,Ratlam,A lot,Maize,Other,FAQ,1630,1630,1630,17 Dec 2018
20,20,Ratlam,A lot,Maize,Other,FAQ,1591,1591,1591,15 Dec 2018
21,21,Ratlam,A lot,Maize,Other,FAQ,1582,1604,1604,13 Dec 2018
22,22,Ratlam,A lot,Maize,Other,FAQ,1461,1461,1461,12 Dec 2018
23,23,Ratlam,A lot,Maize,Other,FAQ,1475,1500,1500,07 Dec 2018
24,24,Ratlam,A lot,Maize,Other,FAQ,1470,1481,1480,06 Dec 2018
25,25,Ratlam,A lot,Maize,Other,FAQ,1499,1500,1500,05 Dec 2018
26,26,Ratlam,A lot,Maize,Other,FAQ,1495,1498,1497,03 Dec 2018
27,27,Ratlam,A lot,Maize,Other,FAQ,1489,1506,1500,01 Dec 2018
28,28,Ratlam,A lot,Maize,Other,FAQ,1421,1421,1421,30 Nov 2018
29,29,Ratlam,A lot,Maize,Other,FAQ,1449,1449,1449,22 Nov 2018
30,30,Ratlam,A lot,Maize,Other,FAQ,1225,1225,1225,20 Nov 2018
31,31,Ratlam,A lot,Maize,Other,FAQ,1370,1372,1372,19 Nov 2018
32,32,Ratlam,A lot,Maize,Other,FAQ,1153,1374,1374,16 Nov 2018
33,33,Ratlam,A lot,Maize,Other,FAQ,1334,1365,1365,15 Nov 2018
34,34,Ratlam,A lot,Maize,Other,FAQ,1221,1221,1221,09 Jul 2018
35,35,Ratlam,A lot,Maize,Other,FAQ,1111,1111,1111,05 Jul 2018
36,36,Ratlam,A lot,Maize,Other,FAQ,1111,1111,1111,08 Jun 2018
37,37,Ratlam,A lot,Maize,Other,FAQ,1000,1160,1111,02 Jun 2018
38,38,Ratlam,A lot,Maize,Other,FAQ,1075,1101,1090,25 May 2018
39,39,Ratlam,A lot,Maize,Other,FAQ,1100,1100,1100,10 May 2018
40,40,Ratlam,A lot,Maize,Other,FAQ,1212,1224,1213,10 Apr 2018
41,41,Ratlam,A lot,Maize,Other,FAQ,1140,1140,1140,14 Mar 2018
42,42,Ratlam,A lot,Maize,Other,FAQ,1170,1210,1195,06 Mar 2018
43,43,Ratlam,A lot,Maize,Other,FAQ,1125,1125,1125,26 Feb 2018
44,44,Ratlam,A lot,Maize,Other,FAQ,1075,1075,1075,17 Feb 2018
45,45,Ratlam,A lot,Maize,Other,FAQ,1075,1100,1100,15 Feb 2018
46,46,Ratlam,A lot,Maize,Other,FAQ,1075,1075,1075,07 Feb 2018
47,47,Ratlam,A lot,Maize,Other,FAQ,1150,1200,1200,05 Feb 2018
48,48,Ratlam,A lot,Maize,Other,FAQ,1111,1111,1111,03 Feb 2018
49,49,Ratlam,A lot,Maize,Other,FAQ,1050,1050,1050,24 Jan 2018
50,50,Ratlam,A lot,Maize,Other,FAQ,1070,1070,1070,17 Jan 2018
51,51,Ratlam,A lot,Maize,Other,FAQ,1083,1083,1083,15 Jan 2018
52,52,Ratlam,A lot,Maize,Other,FAQ,1090,1091,1091,11 Jan 2018
53,53,Ratlam,A lot,Maize,Other,FAQ,1075,1101,1101,08 Jan 2018
54,54,Ratlam,A lot,Maize,Other,FAQ,1122,1122,1122,04 Jan 2018
55,55,Ratlam,A lot,Maize,Other,FAQ,1100,1100,1100,03 Jan 2018
56,56,Ratlam,A lot,Maize,Other,FAQ,1075,1150,1145,29 Dec 2017
57,57,Ratlam,A lot,Maize,Other,FAQ,1075,1133,1133,27 Dec 2017
58,58,Ratlam,A lot,Maize,Other,FAQ,1100,1100,1100,26 Dec 2017
59,59,Ratlam,A lot,Maize,Other,FAQ,1121,1126,1126,22 Dec 2017
60,60,Ratlam,A lot,Maize,Other,FAQ,1100,1152,1147,21 Dec 2017
61,61,Ratlam,A lot,Maize,Other,FAQ,1115,1142,1142,20 Dec 2017
62,62,Ratlam,A lot,Maize,Other,FAQ,1145,1155,1150,19 Dec 2017
63,63,Ratlam,A lot,Maize,Other,FAQ,1075,1150,1118,16 Dec 2017
64,64,Ratlam,A lot,Maize,Other,FAQ,1060,1141,1126,15 Dec 2017
65,65,Ratlam,A lot,Maize,Other,FAQ,1110,1140,1126,14 Dec 2017
66,66,Ratlam,A lot,Maize,Other,FAQ,1135,1135,1135,13 Dec 2017
67,67,Ratlam,A lot,Maize,Other,FAQ,1102,1136,1121,12 Dec 2017
68,68,Ratlam,A lot,Maize,Other,FAQ,1087,1109,1107,11 Dec 2017
69,69,Ratlam,A lot,Maize,Other,FAQ,1051,1100,1088,08 Dec 2017
70,70,Ratlam,A lot,Maize,Other,FAQ,1050,1050,1050,07 Dec 2017
71,71,Ratlam,A lot,Maize,Other,FAQ,1081,1110,1097,04 Dec 2017
72,72,Ratlam,A lot,Maize,Other,FAQ,1030,1085,1074,30 Nov 2017
73,73,Ratlam,A lot,Maize,Other,FAQ,1040,1081,1059,29 Nov 2017
74,74,Ratlam,A lot,Maize,Other,FAQ,1025,1025,1025,28 Nov 2017
75,75,Ratlam,A lot,Maize,Other,FAQ,1040,1151,1051,27 Nov 2017
76,76,Ratlam,A lot,Maize,Other,FAQ,1030,1062,1041,24 Nov 2017
77,77,Ratlam,A lot,Maize,Other,FAQ,1025,1066,1061,23 Nov 2017
78,78,Ratlam,A lot,Maize,Other,FAQ,1010,1010,1010,21 Nov 2017
79,79,Ratlam,A lot,Maize,Other,FAQ,900,1035,1030,20 Nov 2017
80,80,Ratlam,A lot,Maize,Other,FAQ,1047,1080,1050,18 Nov 2017
81,81,Ratlam,A lot,Maize,Other,FAQ,1021,1040,1031,17 Nov 2017
82,82,Ratlam,A lot,Maize,Other,FAQ,1011,1048,1022,16 Nov 2017
83,83,Ratlam,A lot,Maize,Other,FAQ,1000,1037,1025,15 Nov 2017
84,84,Ratlam,A lot,Maize,Other,FAQ,1010,1025,1025,14 Nov 2017
85,85,Ratlam,A lot,Maize,Other,FAQ,1035,1112,1083,13 Nov 2017
86,86,Ratlam,A lot,Maize,Other,FAQ,1050,1087,1079,10 Nov 2017
87,87,Ratlam,A lot,Maize,Other,FAQ,1094,1111,1111,09 Nov 2017
88,88,Ratlam,A lot,Maize,Other,FAQ,1000,1124,1050,08 Nov 2017
89,89,Ratlam,A lot,Maize,Other,FAQ,950,1125,1125,07 Nov 2017
90,90,Ratlam,A lot,Maize,Other,FAQ,1000,1141,1075,06 Nov 2017
91,91,Ratlam,A lot,Maize,Other,FAQ,1050,1081,1081,03 Nov 2017
92,92,Ratlam,A lot,Maize,Other,FAQ,1000,1076,1050,02 Nov 2017
93,93,Ratlam,A lot,Maize,Other,FAQ,1050,1075,1061,01 Nov 2017
94,94,Ratlam,A lot,Maize,Other,FAQ,1000,1080,1050,31 Oct 2017
95,95,Ratlam,A lot,Maize,Other,FAQ,1000,1100,1050,30 Oct 2017
96,96,Ratlam,A lot,Maize,Other,FAQ,1080,1080,1080,27 Oct 2017
97,97,Ratlam,A lot,Maize,Other,FAQ,1022,1101,1101,26 Oct 2017
98,98,Ratlam,A lot,Maize,Other,FAQ,990,990,990,25 Oct 2017
99,99,Ratlam,A lot,Maize,Other,FAQ,1052,1135,1100,24 Oct 2017
100,100,Ratlam,A lot,Maize,Other,FAQ,1210,1210,1210,12 Jul 2017
101,101,Ratlam,A lot,Maize,Other,FAQ,1204,1206,1206,03 Jul 2017
102,102,Ratlam,A lot,Maize,Other,FAQ,1235,1235,1235,10 Apr 2017
103,103,Ratlam,A lot,Maize,Other,FAQ,1492,1492,1492,01 Mar 2017
104,104,Ratlam,A lot,Maize,Other,FAQ,1315,1340,1340,17 Feb 2017
105,105,Ratlam,A lot,Maize,Other,FAQ,1310,1310,1310,11 Feb 2017
106,106,Ratlam,A lot,Maize,Other,FAQ,1320,1350,1340,09 Feb 2017
107,107,Ratlam,A lot,Maize,Other,FAQ,1385,1385,1385,08 Feb 2017
108,108,Ratlam,A lot,Maize,Other,FAQ,1318,1318,1318,03 Feb 2017
109,109,Ratlam,A lot,Maize,Other,FAQ,1300,1340,1340,01 Feb 2017
110,110,Ratlam,A lot,Maize,Other,FAQ,1340,1340,1340,31 Jan 2017
111,111,Ratlam,A lot,Maize,Other,FAQ,1300,1300,1300,25 Jan 2017
112,112,Ratlam,A lot,Maize,Other,FAQ,1315,1325,1320,23 Jan 2017
113,113,Ratlam,A lot,Maize,Other,FAQ,1340,1340,1340,21 Jan 2017
114,114,Ratlam,A lot,Maize,Other,FAQ,1300,1345,1345,18 Jan 2017
115,115,Ratlam,A lot,Maize,Other,FAQ,1250,1305,1300,16 Jan 2017
116,116,Ratlam,A lot,Maize,Other,FAQ,1341,1370,1365,13 Jan 2017
117,117,Ratlam,A lot,Maize,Other,FAQ,1300,1390,1360,12 Jan 2017
118,118,Ratlam,A lot,Maize,Other,FAQ,1340,1350,1350,10 Jan 2017
119,119,Ratlam,A lot,Maize,Other,FAQ,1280,1398,1369,09 Jan 2017
120,120,Ratlam,A lot,Maize,Other,FAQ,1372,1385,1385,07 Jan 2017
121,121,Ratlam,A lot,Maize,Other,FAQ,1340,1393,1380,06 Jan 2017
122,122,Ratlam,A lot,Maize,Other,FAQ,1382,1382,1382,04 Jan 2017
123,123,Ratlam,A lot,Maize,Other,FAQ,1250,1388,1386,02 Jan 2017
124,124,Shajapur,Agar,Maize,Other,FAQ,1870,2200,2150,31 Dec 2019
125,125,Shajapur,Agar,Maize,Other,FAQ,1810,1810,1810,19 Dec 2019
126,126,Shajapur,Agar,Maize,Other,FAQ,2000,2000,2000,18 Dec 2019
127,127,Shajapur,Agar,Maize,Other,FAQ,1700,2050,1950,17 Dec 2019
128,128,Shajapur,Agar,Maize,Other,FAQ,2000,2000,2000,16 Dec 2019
129,129,Shajapur,Agar,Maize,Other,FAQ,1800,2140,1900,14 Dec 2019
130,130,Shajapur,Agar,Maize,Other,FAQ,1700,1700,1700,11 Dec 2019
131,131,Shajapur,Agar,Maize,Other,FAQ,1500,1940,1800,09 Dec 2019
132,132,Shajapur,Agar,Maize,Other,FAQ,1800,2100,2000,07 Dec 2019
133,133,Shajapur,Agar,Maize,Other,FAQ,1913,1913,1913,06 Dec 2019
134,134,Shajapur,Agar,Maize,Other,FAQ,1825,1900,1870,05 Dec 2019
135,135,Shajapur,Agar,Maize,Other,FAQ,1795,1950,1820,04 Dec 2019
136,136,Shajapur,Agar,Maize,Other,FAQ,1600,2070,1970,03 Dec 2019
137,137,Shajapur,Agar,Maize,Other,FAQ,1690,1690,1690,02 Dec 2019
138,138,Shajapur,Agar,Maize,Other,FAQ,1600,1800,1700,30 Nov 2019
139,139,Shajapur,Agar,Maize,Other,FAQ,1495,1950,1900,29 Nov 2019
140,140,Shajapur,Agar,Maize,Other,FAQ,1850,1850,1850,26 Nov 2019
141,141,Shajapur,Agar,Maize,Other,FAQ,1700,1870,1720,25 Nov 2019
142,142,Shajapur,Agar,Maize,Other,FAQ,1580,1580,1580,22 Nov 2019
143,143,Shajapur,Agar,Maize,Other,FAQ,1540,1640,1570,21 Nov 2019
144,144,Shajapur,Agar,Maize,Other,FAQ,1400,1500,1450,20 Nov 2019
145,145,Shajapur,Agar,Maize,Other,FAQ,1395,1395,1395,19 Nov 2019
146,146,Shajapur,Agar,Maize,Other,FAQ,1450,1625,1500,18 Nov 2019
147,147,Shajapur,Agar,Maize,Other,FAQ,1550,1550,1550,16 Nov 2019
148,148,Shajapur,Agar,Maize,Other,FAQ,1550,1700,1600,15 Nov 2019
149,149,Shajapur,Agar,Maize,Other,FAQ,1640,1640,1640,11 Nov 2019
150,150,Shajapur,Agar,Maize,Other,FAQ,1500,2000,1700,06 Nov 2019
151,151,Shajapur,Agar,Maize,Other,FAQ,1400,1700,1600,02 Nov 2019
152,152,Shajapur,Agar,Maize,Other,FAQ,1630,1630,1630,30 Oct 2019
153,153,Shajapur,Agar,Maize,Other,FAQ,2000,2000,2000,23 Oct 2019
154,154,Shajapur,Agar,Maize,Other,FAQ,1865,1865,1865,09 Oct 2019
155,155,Shajapur,Agar,Maize,Other,FAQ,1900,1947,1920,28 Aug 2019
156,156,Shajapur,Agar,Maize,Other,FAQ,1900,1900,1900,20 Aug 2019
157,157,Shajapur,Agar,Maize,Other,FAQ,1900,2000,1930,08 Aug 2019
158,158,Shajapur,Agar,Maize,Other,FAQ,1950,2050,2000,06 Aug 2019
159,159,Shajapur,Agar,Maize,Other,FAQ,1925,1925,1925,05 Aug 2019
160,160,Shajapur,Agar,Maize,Other,FAQ,2050,2050,2050,03 Aug 2019
161,161,Shajapur,Agar,Maize,Other,FAQ,2000,2000,2000,31 Jul 2019
162,162,Shajapur,Agar,Maize,Other,FAQ,1700,1700,1700,26 Jul 2019
163,163,Shajapur,Agar,Maize,Other,FAQ,1800,1800,1800,22 Jul 2019
164,164,Shajapur,Agar,Maize,Other,FAQ,1500,2010,1800,18 Jul 2019
165,165,Shajapur,Agar,Maize,Other,FAQ,1740,1900,1800,17 Jul 2019
166,166,Shajapur,Agar,Maize,Other,FAQ,1700,2000,1900,15 Jul 2019
167,167,Shajapur,Agar,Maize,Other,FAQ,1500,1810,1700,12 Jul 2019
168,168,Shajapur,Agar,Maize,Other,FAQ,1800,2200,2000,11 Jul 2019
169,169,Shajapur,Agar,Maize,Other,FAQ,1500,1825,1800,08 Jul 2019
170,170,Shajapur,Agar,Maize,Other,FAQ,1800,1800,1800,06 Jul 2019
171,171,Shajapur,Agar,Maize,Other,FAQ,2000,2000,2000,28 Jun 2019
172,172,Shajapur,Agar,Maize,Other,FAQ,2140,2140,2140,27 Jun 2019
173,173,Shajapur,Agar,Maize,Other,FAQ,1500,1800,1700,18 Jun 2019
174,174,Shajapur,Agar,Maize,Other,FAQ,1600,1710,1650,14 Jun 2019
175,175,Shajapur,Agar,Maize,Other,FAQ,1150,1750,1400,12 Jun 2019
176,176,Shajapur,Agar,Maize,Other,FAQ,1768,1768,1768,07 Jun 2019
177,177,Shajapur,Agar,Maize,Other,FAQ,2100,2100,2100,23 May 2019
178,178,Shajapur,Agar,Maize,Other,FAQ,1950,2150,2000,21 May 2019
179,179,Shajapur,Agar,Maize,Other,FAQ,2000,2000,2000,15 May 2019
180,180,Shajapur,Agar,Maize,Other,FAQ,2000,2000,2000,08 May 2019
181,181,Shajapur,Agar,Maize,Other,FAQ,1850,2250,1950,03 May 2019
182,182,Shajapur,Agar,Maize,Other,FAQ,2100,2225,2150,26 Apr 2019
183,183,Shajapur,Agar,Maize,Other,FAQ,1900,2000,1950,03 Apr 2019
184,184,Shajapur,Agar,Maize,Other,FAQ,1700,1900,1800,02 Apr 2019
185,185,Shajapur,Agar,Maize,Other,FAQ,2000,2000,2000,22 Mar 2019
186,186,Shajapur,Agar,Maize,Other,FAQ,1900,1900,1900,16 Mar 2019
187,187,Shajapur,Agar,Maize,Other,FAQ,1800,1800,1800,13 Mar 2019
188,188,Shajapur,Agar,Maize,Other,FAQ,1500,1790,1750,08 Mar 2019
189,189,Shajapur,Agar,Maize,Other,FAQ,1800,1800,1800,22 Feb 2019
190,190,Shajapur,Agar,Maize,Other,FAQ,1500,1800,1700,20 Feb 2019
191,191,Shajapur,Agar,Maize,Other,FAQ,1850,1850,1850,15 Feb 2019
192,192,Shajapur,Agar,Maize,Other,FAQ,1900,1900,1900,14 Feb 2019
193,193,Shajapur,Agar,Maize,Other,FAQ,1750,1750,1750,13 Feb 2019
194,194,Shajapur,Agar,Maize,Other,FAQ,1770,1770,1770,12 Feb 2019
195,195,Shajapur,Agar,Maize,Other,FAQ,1730,1730,1730,11 Feb 2019
196,196,Shajapur,Agar,Maize,Other,FAQ,1700,2010,1900,06 Feb 2019
197,197,Shajapur,Agar,Maize,Other,FAQ,1855,1855,1855,05 Feb 2019
198,198,Shajapur,Agar,Maize,Other,FAQ,1730,1900,1850,02 Feb 2019
199,199,Shajapur,Agar,Maize,Other,FAQ,1700,1815,1750,31 Jan 2019
200,200,Shajapur,Agar,Maize,Other,FAQ,1760,1760,1760,30 Jan 2019
201,201,Shajapur,Agar,Maize,Other,FAQ,1600,1705,1670,28 Jan 2019
202,202,Shajapur,Agar,Maize,Other,FAQ,1780,1780,1780,25 Jan 2019
203,203,Shajapur,Agar,Maize,Other,FAQ,1500,1745,1700,23 Jan 2019
204,204,Shajapur,Agar,Maize,Other,FAQ,1500,1800,1740,22 Jan 2019
205,205,Shajapur,Agar,Maize,Other,FAQ,1640,1640,1640,19 Jan 2019
206,206,Shajapur,Agar,Maize,Other,FAQ,1650,1740,1700,11 Jan 2019
207,207,Shajapur,Agar,Maize,Other,FAQ,1670,1670,1670,10 Jan 2019
208,208,Shajapur,Agar,Maize,Other,FAQ,1600,1650,1620,09 Jan 2019
209,209,Shajapur,Agar,Maize,Other,FAQ,1500,1620,1600,08 Jan 2019
210,210,Shajapur,Agar,Maize,Other,FAQ,1580,1580,1580,07 Jan 2019
211,211,Shajapur,Agar,Maize,Other,FAQ,1640,1640,1640,04 Jan 2019
212,212,Shajapur,Agar,Maize,Other,FAQ,1565,1635,1600,03 Jan 2019
213,213,Shajapur,Agar,Maize,Other,FAQ,1625,1710,1670,02 Jan 2019
214,214,Shajapur,Agar,Maize,Other,FAQ,1485,1485,1485,01 Jan 2019
215,215,Shajapur,Agar,Maize,Other,FAQ,1500,1600,1570,28 Dec 2018
216,216,Shajapur,Agar,Maize,Other,FAQ,1600,1600,1600,27 Dec 2018
217,217,Shajapur,Agar,Maize,Other,FAQ,1575,1640,1600,26 Dec 2018
218,218,Shajapur,Agar,Maize,Other,FAQ,1640,1640,1640,24 Dec 2018
219,219,Shajapur,Agar,Maize,Other,FAQ,1500,1640,1550,21 Dec 2018
220,220,Shajapur,Agar,Maize,Other,FAQ,1300,1640,1600,20 Dec 2018
221,221,Shajapur,Agar,Maize,Other,FAQ,1465,1610,1570,19 Dec 2018
222,222,Shajapur,Agar,Maize,Other,FAQ,1560,1580,1570,18 Dec 2018
223,223,Shajapur,Agar,Maize,Other,FAQ,1550,1550,1550,17 Dec 2018
224,224,Shajapur,Agar,Maize,Other,FAQ,1550,1610,1570,15 Dec 2018
225,225,Shajapur,Agar,Maize,Other,FAQ,1440,1525,1500,14 Dec 2018
226,226,Shajapur,Agar,Maize,Other,FAQ,1567,1567,1567,13 Dec 2018
227,227,Shajapur,Agar,Maize,Other,FAQ,1400,1760,1550,12 Dec 2018
228,228,Shajapur,Agar,Maize,Other,FAQ,1400,1450,1410,10 Dec 2018
229,229,Shajapur,Agar,Maize,Other,FAQ,1100,1520,1400,06 Dec 2018
230,230,Shajapur,Agar,Maize,Other,FAQ,1200,1420,1350,05 Dec 2018
231,231,Shajapur,Agar,Maize,Other,FAQ,1100,1415,1350,04 Dec 2018
232,232,Shajapur,Agar,Maize,Other,FAQ,1300,1540,1450,03 Dec 2018
233,233,Shajapur,Agar,Maize,Other,FAQ,1200,1450,1350,01 Dec 2018
234,234,Shajapur,Agar,Maize,Other,FAQ,1100,1425,1350,30 Nov 2018
235,235,Shajapur,Agar,Maize,Other,FAQ,1300,1550,1400,26 Nov 2018
236,236,Shajapur,Agar,Maize,Other,FAQ,1300,1400,1350,22 Nov 2018
237,237,Shajapur,Agar,Maize,Other,FAQ,1260,1400,1350,20 Nov 2018
238,238,Shajapur,Agar,Maize,Other,FAQ,1100,1310,1200,19 Nov 2018
239,239,Shajapur,Agar,Maize,Other,FAQ,1150,1295,1200,17 Nov 2018
240,240,Shajapur,Agar,Maize,Other,FAQ,1200,1280,1250,16 Nov 2018
241,241,Shajapur,Agar,Maize,Other,FAQ,1200,1300,1250,15 Nov 2018
242,242,Shajapur,Agar,Maize,Other,FAQ,1200,1360,1230,14 Nov 2018
243,243,Shajapur,Agar,Maize,Other,FAQ,1200,1300,1250,13 Nov 2018
244,244,Shajapur,Agar,Maize,Other,FAQ,1200,1300,1250,12 Nov 2018
245,245,Shajapur,Agar,Maize,Other,FAQ,1100,1265,1160,03 Nov 2018
246,246,Shajapur,Agar,Maize,Other,FAQ,1000,1140,1070,02 Nov 2018
247,247,Shajapur,Agar,Maize,Other,FAQ,1100,1100,1100,22 Oct 2018
248,248,Shajapur,Agar,Maize,Other,FAQ,1100,1100,1100,16 Oct 2018
249,249,Shajapur,Agar,Maize,Other,FAQ,1225,1225,1225,29 Sep 2018
250,250,Shajapur,Agar,Maize,Other,FAQ,1280,1280,1280,18 Sep 2018
251,251,Shajapur,Agar,Maize,Other,FAQ,1250,1250,1250,17 Sep 2018
252,252,Shajapur,Agar,Maize,Other,FAQ,1100,1250,1200,15 Sep 2018
253,253,Shajapur,Agar,Maize,Other,FAQ,1100,1100,1100,14 Sep 2018
254,254,Shajapur,Agar,Maize,Other,FAQ,1250,1250,1250,13 Sep 2018
255,255,Shajapur,Agar,Maize,Other,FAQ,1250,1250,1250,12 Sep 2018
256,256,Shajapur,Agar,Maize,Other,FAQ,1200,1200,1200,05 Sep 2018
257,257,Shajapur,Agar,Maize,Other,FAQ,1205,1205,1205,27 Aug 2018
258,258,Shajapur,Agar,Maize,Other,FAQ,1200,1200,1200,18 Aug 2018
259,259,Shajapur,Agar,Maize,Other,FAQ,1140,1200,1170,16 Aug 2018
260,260,Shajapur,Agar,Maize,Other,FAQ,1170,1310,1270,14 Aug 2018
261,261,Shajapur,Agar,Maize,Other,FAQ,1000,1000,1000,09 Aug 2018
262,262,Shajapur,Agar,Maize,Other,FAQ,1190,1190,1190,08 Aug 2018
263,263,Shajapur,Agar,Maize,Other,FAQ,1180,1360,1200,07 Aug 2018
264,264,Shajapur,Agar,Maize,Other,FAQ,1170,1170,1170,04 Aug 2018
265,265,Shajapur,Agar,Maize,Other,FAQ,1200,1300,1250,03 Aug 2018
266,266,Shajapur,Agar,Maize,Other,FAQ,1165,1280,1200,01 Aug 2018
267,267,Shajapur,Agar,Maize,Other,FAQ,1160,1160,1160,20 Jul 2018
268,268,Shajapur,Agar,Maize,Other,FAQ,1170,1170,1170,19 Jul 2018
269,269,Shajapur,Agar,Maize,Other,FAQ,1200,1200,1200,18 Jul 2018
270,270,Shajapur,Agar,Maize,Other,FAQ,1050,1180,1100,17 Jul 2018
271,271,Shajapur,Agar,Maize,Other,FAQ,1150,1170,1160,16 Jul 2018
272,272,Shajapur,Agar,Maize,Other,FAQ,1100,1200,1120,12 Jul 2018
273,273,Shajapur,Agar,Maize,Other,FAQ,970,1200,1150,10 Jul 2018
274,274,Shajapur,Agar,Maize,Other,FAQ,900,1260,1200,09 Jul 2018
275,275,Shajapur,Agar,Maize,Other,FAQ,1220,1380,1260,07 Jul 2018
276,276,Shajapur,Agar,Maize,Other,FAQ,800,1300,1100,06 Jul 2018
277,277,Shajapur,Agar,Maize,Other,FAQ,1000,1000,1000,05 Jul 2018
278,278,Shajapur,Agar,Maize,Other,FAQ,1000,1000,1000,04 Jul 2018
279,279,Shajapur,Agar,Maize,Other,FAQ,1100,1300,1200,03 Jul 2018
280,280,Shajapur,Agar,Maize,Other,FAQ,1200,1200,1200,28 Jun 2018
281,281,Shajapur,Agar,Maize,Other,FAQ,1000,1200,1050,26 Jun 2018
282,282,Shajapur,Agar,Maize,Other,FAQ,1000,1100,1050,15 Jun 2018
283,283,Shajapur,Agar,Maize,Other,FAQ,900,1200,1000,14 Jun 2018
284,284,Shajapur,Agar,Maize,Other,FAQ,1200,1200,1200,11 Jun 2018
285,285,Shajapur,Agar,Maize,Other,FAQ,1290,1290,1290,19 May 2018
286,286,Shajapur,Agar,Maize,Other,FAQ,1000,1110,1050,11 May 2018
287,287,Shajapur,Agar,Maize,Other,FAQ,1113,1113,1113,04 May 2018
288,288,Shajapur,Agar,Maize,Other,FAQ,1125,1125,1125,03 May 2018
289,289,Shajapur,Agar,Maize,Other,FAQ,900,1095,950,02 May 2018
290,290,Shajapur,Agar,Maize,Other,FAQ,1250,1250,1250,26 Apr 2018
291,291,Shajapur,Agar,Maize,Other,FAQ,1000,1000,1000,10 Apr 2018
292,292,Shajapur,Agar,Maize,Other,FAQ,950,1040,980,09 Apr 2018
293,293,Shajapur,Agar,Maize,Other,FAQ,900,900,900,07 Apr 2018
294,294,Shajapur,Agar,Maize,Other,FAQ,1040,1040,1040,04 Apr 2018
295,295,Shajapur,Agar,Maize,Other,FAQ,990,990,990,26 Mar 2018
296,296,Shajapur,Agar,Maize,Other,FAQ,1000,1000,1000,20 Mar 2018
297,297,Shajapur,Agar,Maize,Other,FAQ,1028,1028,1028,15 Mar 2018
298,298,Shajapur,Agar,Maize,Other,FAQ,1025,1025,1025,13 Mar 2018
299,299,Shajapur,Agar,Maize,Other,FAQ,900,900,900,09 Mar 2018
300,300,Shajapur,Agar,Maize,Other,FAQ,951,951,951,08 Mar 2018
301,301,Shajapur,Agar,Maize,Other,FAQ,900,1001,950,06 Mar 2018
302,302,Shajapur,Agar,Maize,Other,FAQ,1070,1070,1070,01 Mar 2018
303,303,Shajapur,Agar,Maize,Other,FAQ,971,971,971,27 Feb 2018
304,304,Shajapur,Agar,Maize,Other,FAQ,991,991,991,26 Feb 2018
305,305,Shajapur,Agar,Maize,Other,FAQ,900,900,900,19 Feb 2018
306,306,Shajapur,Agar,Maize,Other,FAQ,1000,1000,1000,12 Feb 2018
307,307,Shajapur,Agar,Maize,Other,FAQ,1075,1075,1075,08 Feb 2018
308,308,Shajapur,Agar,Maize,Other,FAQ,1000,1000,1000,05 Feb 2018
309,309,Shajapur,Agar,Maize,Other,FAQ,1100,1100,1100,03 Feb 2018
310,310,Shajapur,Agar,Maize,Other,FAQ,1100,1100,1100,02 Feb 2018
311,311,Shajapur,Agar,Maize,Other,FAQ,1050,1050,1050,01 Feb 2018
312,312,Shajapur,Agar,Maize,Other,FAQ,1000,1119,1110,30 Jan 2018
313,313,Shajapur,Agar,Maize,Other,FAQ,1002,1002,1002,29 Jan 2018
314,314,Shajapur,Agar,Maize,Other,FAQ,950,950,950,24 Jan 2018
315,315,Shajapur,Agar,Maize,Other,FAQ,1142,1142,1142,23 Jan 2018
316,316,Shajapur,Agar,Maize,Other,FAQ,917,1138,1050,12 Jan 2018
